"date","housing loan rate"
"Jan-1959",5
"Feb-1959",5
"Mar-1959",5
"Apr-1959",5
"May-1959",5
"Jun-1959",5
"Jul-1959",5
"Aug-1959",5
"Sep-1959",5
"Oct-1959",5
"Nov-1959",5
"Dec-1959",5
"Jan-1960",5
"Feb-1960",5
"Mar-1960",5
"Apr-1960",5
"May-1960",5
"Jun-1960",5
"Jul-1960",5
"Aug-1960",5
"Sep-1960",5
"Oct-1960",5
"Nov-1960",5
"Dec-1960",5
"Jan-1961",5.5
"Feb-1961",5.5
"Mar-1961",5.5
"Apr-1961",5.5
"May-1961",5.5
"Jun-1961",5.5
"Jul-1961",5.5
"Aug-1961",5.5
"Sep-1961",5.5
"Oct-1961",5.5
"Nov-1961",5.5
"Dec-1961",5.5
"Jan-1962",5.5
"Feb-1962",5.5
"Mar-1962",5.5
"Apr-1962",5.5
"May-1962",5.5
"Jun-1962",5.5
"Jul-1962",5.5
"Aug-1962",5.5
"Sep-1962",5.5
"Oct-1962",5.5
"Nov-1962",5.5
"Dec-1962",5.5
"Jan-1963",5.5
"Feb-1963",5.5
"Mar-1963",5.5
"Apr-1963",5
"May-1963",5
"Jun-1963",5
"Jul-1963",5
"Aug-1963",5
"Sep-1963",5
"Oct-1963",5
"Nov-1963",5
"Dec-1963",5
"Jan-1964",5
"Feb-1964",5
"Mar-1964",5
"Apr-1964",5
"May-1964",5
"Jun-1964",5.13
"Jul-1964",5.13
"Aug-1964",5.13
"Sep-1964",5.13
"Oct-1964",5.13
"Nov-1964",5.13
"Dec-1964",5.13
"Jan-1965",5.13
"Feb-1965",5.13
"Mar-1965",5.13
"Apr-1965",5.38
"May-1965",5.38
"Jun-1965",5.38
"Jul-1965",5.38
"Aug-1965",5.38
"Sep-1965",5.38
"Oct-1965",5.38
"Nov-1965",5.38
"Dec-1965",5.38
"Jan-1966",5.38
"Feb-1966",5.38
"Mar-1966",5.38
"Apr-1966",5.38
"May-1966",5.38
"Jun-1966",5.38
"Jul-1966",5.38
"Aug-1966",5.38
"Sep-1966",5.38
"Oct-1966",5.38
"Nov-1966",5.38
"Dec-1966",5.38
"Jan-1967",5.38
"Feb-1967",5.38
"Mar-1967",5.38
"Apr-1967",5.38
"May-1967",5.38
"Jun-1967",5.38
"Jul-1967",5.38
"Aug-1967",5.38
"Sep-1967",5.38
"Oct-1967",5.38
"Nov-1967",5.38
"Dec-1967",5.38
"Jan-1968",5.38
"Feb-1968",5.38
"Mar-1968",5.38
"Apr-1968",5.38
"May-1968",5.38
"Jun-1968",5.38
"Jul-1968",5.38
"Aug-1968",5.88
"Sep-1968",5.88
"Oct-1968",5.88
"Nov-1968",5.88
"Dec-1968",5.88
"Jan-1969",5.88
"Feb-1969",5.88
"Mar-1969",5.88
"Apr-1969",5.88
"May-1969",5.88
"Jun-1969",5.88
"Jul-1969",5.88
"Aug-1969",5.88
"Sep-1969",5.88
"Oct-1969",5.88
"Nov-1969",5.88
"Dec-1969",5.88
"Jan-1970",5.88
"Feb-1970",5.88
"Mar-1970",5.88
"Apr-1970",7.25
"May-1970",7.25
"Jun-1970",7.25
"Jul-1970",7.25
"Aug-1970",7.25
"Sep-1970",7.25
"Oct-1970",7.25
"Nov-1970",7.25
"Dec-1970",7.25
"Jan-1971",7.25
"Feb-1971",7.25
"Mar-1971",7.25
"Apr-1971",7.25
"May-1971",7.25
"Jun-1971",7.25
"Jul-1971",7.25
"Aug-1971",7.25
"Sep-1971",7.25
"Oct-1971",7.25
"Nov-1971",7.25
"Dec-1971",7.25
"Jan-1972",7.25
"Feb-1972",7
"Mar-1972",7
"Apr-1972",7
"May-1972",7
"Jun-1972",7
"Jul-1972",7
"Aug-1972",7
"Sep-1972",7
"Oct-1972",7
"Nov-1972",7
"Dec-1972",7
"Jan-1973",7
"Feb-1973",7
"Mar-1973",7
"Apr-1973",7
"May-1973",7
"Jun-1973",7
"Jul-1973",7
"Aug-1973",7
"Sep-1973",7
"Oct-1973",8.38
"Nov-1973",8.38
"Dec-1973",8.38
"Jan-1974",8.38
"Feb-1974",8.38
"Mar-1974",8.38
"Apr-1974",8.38
"May-1974",8.38
"Jun-1974",8.38
"Jul-1974",10.38
"Aug-1974",10.38
"Sep-1974",10.38
"Oct-1974",10.38
"Nov-1974",10.38
"Dec-1974",10.38
"Jan-1975",10.38
"Feb-1975",10.38
"Mar-1975",10.38
"Apr-1975",10.13
"May-1975",10.13
"Jun-1975",10.13
"Jul-1975",10.13
"Aug-1975",10.13
"Sep-1975",10.38
"Oct-1975",10.38
"Nov-1975",10.38
"Dec-1975",10.38
"Jan-1976",10.38
"Feb-1976",9.88
"Mar-1976",9.88
"Apr-1976",9.88
"May-1976",9.88
"Jun-1976",9.88
"Jul-1976",9.88
"Aug-1976",9.88
"Sep-1976",9.88
"Oct-1976",9.88
"Nov-1976",9.88
"Dec-1976",9.88
"Jan-1977",9.88
"Feb-1977",9.88
"Mar-1977",9.88
"Apr-1977",9.88
"May-1977",9.88
"Jun-1977",9.88
"Jul-1977",9.88
"Aug-1977",9.88
"Sep-1977",9.88
"Oct-1977",9.88
"Nov-1977",9.88
"Dec-1977",9.88
"Jan-1978",9.63
"Feb-1978",9.38
"Mar-1978",9.38
"Apr-1978",9.38
"May-1978",9.38
"Jun-1978",9.38
"Jul-1978",9.38
"Aug-1978",9.38
"Sep-1978",9.38
"Oct-1978",9.38
"Nov-1978",9.38
"Dec-1978",9.13
"Jan-1979",9.13
"Feb-1979",9.13
"Mar-1979",9.13
"Apr-1979",9.13
"May-1979",9.13
"Jun-1979",9.13
"Jul-1979",9.13
"Aug-1979",9.13
"Sep-1979",9.13
"Oct-1979",9.13
"Nov-1979",9.13
"Dec-1979",9.13
"Jan-1980",9.13
"Feb-1980",9.13
"Mar-1980",9.63
"Apr-1980",9.88
"May-1980",9.88
"Jun-1980",9.88
"Jul-1980",10.25
"Aug-1980",10.25
"Sep-1980",10.25
"Oct-1980",10.25
"Nov-1980",10.25
"Dec-1980",11
"Jan-1981",11.5
"Feb-1981",11.5
"Mar-1981",11.5
"Apr-1981",11.5
"May-1981",11.5
"Jun-1981",11.5
"Jul-1981",11.5
"Aug-1981",12
"Sep-1981",12
"Oct-1981",12.5
"Nov-1981",12.5
"Dec-1981",12.5
"Jan-1982",12.5
"Feb-1982",12.5
"Mar-1982",13
"Apr-1982",13.5
"May-1982",13.5
"Jun-1982",13.5
"Jul-1982",13.5
"Aug-1982",13.5
"Sep-1982",13.5
"Oct-1982",13.5
"Nov-1982",13.5
"Dec-1982",13.5
"Jan-1983",13.5
"Feb-1983",12.5
"Mar-1983",12.5
"Apr-1983",12.5
"May-1983",12.5
"Jun-1983",12.5
"Jul-1983",12.5
"Aug-1983",12.5
"Sep-1983",12
"Oct-1983",12
"Nov-1983",12
"Dec-1983",12
"Jan-1984",11.5
"Feb-1984",11.5
"Mar-1984",11.5
"Apr-1984",11.5
"May-1984",11.5
"Jun-1984",11.5
"Jul-1984",11.5
"Aug-1984",11.5
"Sep-1984",11.5
"Oct-1984",11.5
"Nov-1984",11.5
"Dec-1984",11.5
"Jan-1985",11.5
"Feb-1985",11.5
"Mar-1985",11.5
"Apr-1985",12
"May-1985",12
"Jun-1985",12
"Jul-1985",12.5
"Aug-1985",12.5
"Sep-1985",13
"Oct-1985",13.5
"Nov-1985",13.5
"Dec-1985",13.5
"Jan-1986",13.5
"Feb-1986",13.5
"Mar-1986",13.5
"Apr-1986",15.5
"May-1986",15.5
"Jun-1986",15.5
"Jul-1986",15.5
"Aug-1986",15.5
"Sep-1986",15.5
"Oct-1986",15.5
"Nov-1986",15.5
"Dec-1986",15.5
"Jan-1987",15.5
"Feb-1987",15.5
"Mar-1987",15.5
"Apr-1987",15.5
"May-1987",15.5
"Jun-1987",15.5
"Jul-1987",15.5
"Aug-1987",15
"Sep-1987",15
"Oct-1987",14.5
"Nov-1987",14
"Dec-1987",14
"Jan-1988",14
"Feb-1988",13.5
"Mar-1988",13.5
"Apr-1988",13.5
"May-1988",13.5
"Jun-1988",13.5
"Jul-1988",14.5
"Aug-1988",14.5
"Sep-1988",14.5
"Oct-1988",14.5
"Nov-1988",14.5
"Dec-1988",15
"Jan-1989",15
"Feb-1989",15.5
"Mar-1989",16
"Apr-1989",16
"May-1989",16
"Jun-1989",17
"Jul-1989",17
"Aug-1989",17
"Sep-1989",17
"Oct-1989",17
"Nov-1989",17
"Dec-1989",17
"Jan-1990",17
"Feb-1990",17
"Mar-1990",17
"Apr-1990",16.5
"May-1990",16.5
"Jun-1990",16.5
"Jul-1990",16.5
"Aug-1990",16.5
"Sep-1990",16.25
"Oct-1990",16
"Nov-1990",15.5
"Dec-1990",15
"Jan-1991",14.5
"Feb-1991",14.5
"Mar-1991",14.5
"Apr-1991",14.5
"May-1991",14
"Jun-1991",13
"Jul-1991",13
"Aug-1991",13
"Sep-1991",13
"Oct-1991",12.5
"Nov-1991",12.5
"Dec-1991",12
"Jan-1992",12
"Feb-1992",11
"Mar-1992",11
"Apr-1992",11
"May-1992",11
"Jun-1992",10.5
"Jul-1992",10.5
"Aug-1992",10
"Sep-1992",10
"Oct-1992",10
"Nov-1992",10
"Dec-1992",10
"Jan-1993",10
"Feb-1993",10
"Mar-1993",10
"Apr-1993",10
"May-1993",9.5
"Jun-1993",9.5
"Jul-1993",9.5
"Aug-1993",9.5
"Sep-1993",8.75
"Oct-1993",8.75
"Nov-1993",8.75
"Dec-1993",8.75
"Jan-1994",8.75
"Feb-1994",8.75
"Mar-1994",8.75
"Apr-1994",8.75
"May-1994",8.75
"Jun-1994",8.75
"Jul-1994",8.75
"Aug-1994",8.75
"Sep-1994",9.5
"Oct-1994",9.5
"Nov-1994",9.55
"Dec-1994",10.5
"Jan-1995",10.5
"Feb-1995",10.5
"Mar-1995",10.5
"Apr-1995",10.5
"May-1995",10.5
"Jun-1995",10.5
"Jul-1995",10.5
"Aug-1995",10.5
"Sep-1995",10.5
"Oct-1995",10.5
"Nov-1995",10.5
"Dec-1995",10.5
"Jan-1996",10.5
"Feb-1996",10.5
"Mar-1996",10.5
"Apr-1996",10.5
"May-1996",10.5
"Jun-1996",9.75
"Jul-1996",9.75
"Aug-1996",9.25
"Sep-1996",9.25
"Oct-1996",9.25
"Nov-1996",8.75
"Dec-1996",8.25
"Jan-1997",8.25
"Feb-1997",7.55
"Mar-1997",7.55
"Apr-1997",7.55
"May-1997",7.2
"Jun-1997",7.2
"Jul-1997",7.2
"Aug-1997",6.7
"Sep-1997",6.7
"Oct-1997",6.7
"Nov-1997",6.7
"Dec-1997",6.7
"Jan-1998",6.7
"Feb-1998",6.7
"Mar-1998",6.7
"Apr-1998",6.7
"May-1998",6.7
"Jun-1998",6.7
"Jul-1998",6.7
"Aug-1998",6.7
"Sep-1998",6.7
"Oct-1998",6.7
"Nov-1998",6.7
"Dec-1998",6.5
"Jan-1999",6.5
"Feb-1999",6.5
"Mar-1999",6.5
"Apr-1999",6.5
"May-1999",6.5
"Jun-1999",6.5
"Jul-1999",6.55
"Aug-1999",6.55
"Sep-1999",6.55
"Oct-1999",6.55
"Nov-1999",6.8
"Dec-1999",6.8
"Jan-2000",6.8
"Feb-2000",7.3
"Mar-2000",7.3
"Apr-2000",7.55
"May-2000",7.8
"Jun-2000",7.8
"Jul-2000",7.8
"Aug-2000",8.05
"Sep-2000",8.05
"Oct-2000",8.05
"Nov-2000",8.05
"Dec-2000",8.05
"Jan-2001",8.05
"Feb-2001",7.55
"Mar-2001",7.3
"Apr-2001",6.8
"May-2001",6.8
"Jun-2001",6.8
"Jul-2001",6.8
"Aug-2001",6.8
"Sep-2001",6.55
"Oct-2001",6.3
"Nov-2001",6.3
"Dec-2001",6.05
"Jan-2002",6.05
"Feb-2002",6.05
"Mar-2002",6.05
"Apr-2002",6.05
"May-2002",6.3
"Jun-2002",6.55
"Jul-2002",6.55
"Aug-2002",6.55
"Sep-2002",6.55
"Oct-2002",6.55
"Nov-2002",6.55
"Dec-2002",6.55
"Jan-2003",6.55
"Feb-2003",6.55
"Mar-2003",6.55
"Apr-2003",6.55
"May-2003",6.55
"Jun-2003",6.55
"Jul-2003",6.55
"Aug-2003",6.55
"Sep-2003",6.55
"Oct-2003",6.55
"Nov-2003",6.8
"Dec-2003",7.05
"Jan-2004",7.05
"Feb-2004",7.05
"Mar-2004",7.05
"Apr-2004",7.05
"May-2004",7.05
"Jun-2004",7.05
"Jul-2004",7.05
"Aug-2004",7.05
"Sep-2004",7.05
