"url","name"
"iacaa1978448/","INDUSTRIES ASSISTANCE COMMISSION AMENDMENT ACT 1978 NO. 1, 1978"
"ctaa1978258/","CUSTOMS TARIFF AMENDMENT ACT 1978 NO. 2 OF 1978"
"actscaa1978563/","AUSTRALIAN CAPITAL TERRITORY SUPREME COURT AMENDMENT ACT 1978 NO. 3, 1978"
"ntscaa1978515/","NORTHERN TERRITORY SJUPREME COURT AMENDMENT ACT 1978 NO. 4, 1978"
"nwraa1978435/","NATIONAL WATER RESOURCES (FINANCIAL ASSISTANCE) ACT 1978 NO. 5, 1978"
"tapa1978500/","TERRITORY AUTHORITIES (FINANCIAL PROVISIONS) ACT 1978 NO. 6 OF 1978"
"bcya1978373/","BOUNTY (POLYESTER COTTON YARN) ACT 1978 NO. 7, 1978"
"conwaa1978335/","CONTROL OF NAVAL WATERS AMENDMENT ACT 1978 NO. 8, 1978"
"anraa1978385/","AUSTRALIAN NATIONAL RAILWAYS AMENDMENT ACT 1978 NO. 9, 1978"
"bma1978253/","BOUNTY (DRILLING MACHINES) ACT 1978 NO. 10, 1978"
"aatsiracsma1978849/","ABORIGINAL AND TORRES STRAIT ISLANDERS (QUEENSLAND RESERVES AND COMMUNITIES SELF MANAGEMENT) ACT 1978 NO. 11, 1978"
"sgpaa1978476/","STATES GRANTS (PETROLEUM PRODUCTS) AMENDMENT ACT 1978 NO. 12, 1978"
"ciara1978431/","CRIMES (FOREIGN INCURSIONS AND RECRUITMENT) ACT 1978 NO. 13, 1978"
"eaa1978n141978187/","EVIDENCE AMENDMENT ACT 1978 NO. 14, 1978"
"aaapcaa1978437/","AUSTRALIAN APPLE AND PEAR CORPORATION AMENDMENT ACT 1978 NO. 15, 1978"
"cfagdmslga1978700/","CO-OPERATIVE FARMERS AND GRAZIERS DIRECT MEAT SUPPLY LIMITED (LOAN GUARANTEE) ACT 1978 NO. 16, 1978"
"saaa1978314/","SUPERANNUATION ACTS AMENDMENT ACT 1978 NO. 17, 1978"
