"url","name"
"ncascaa1981518/","NATIONAL COMPANIES AND SECURITIES COMMISSION AMENDMENT ACT 1981 NO. 1, 1981"
"cosaa1981396/","COMPANIES (ACQUISITION OF SHARES) AMENDMENT ACT 1981 NO. 2, 1981"
"siaa1981341/","SECURITIES INDUSTRY AMENDMENT ACT 1981 NO. 3, 1981"
"casampaa1981788/","COMPANIES AND SECURITIES (INTERPRETATION AND MISCELLANEOUS PROVISIONS) AMENDMENT ACT 1981 NO. 4, 1981"
"ctsaa1981364/","COMMONWEALTH TEACHING SERVICE AMENDMENT ACT 1981 NO. 5, 1981"
"lsleaa1981495/","LONG SERVICE LEAVE (COMMONWEALTH EMPLOYEES) AMENDMENT ACT 1981 NO. 6, 1981"
"acfiraa1981600/","ADVISORY COUNCIL FOR INTER-GOVERNMENT RELATIONS AMENDMENT ACT 1981 NO. 7, 1981"
"sra1981254/","SHIPPING REGISTRATION ACT 1981 NO. 8, 1981"
"faa1981141/","FLAGS AMENDMENT ACT 1981 NO. 9, 1981"
"naa1981203/","NAVIGATION AMENDMENT ACT 1981 NO. 10, 1981"
"caa1981200/","CURRENCY AMENDMENT ACT 1981 NO. 11, 1981"
"draa1981249/","DAIRYING RESEARCH AMENDMENT ACT 1981 NO. 12, 1981"
"dvfslra1981496/","DRIED VINE FRUITS STABILIZATION LEGISLATION REPEAL ACT 1981 NO. 13, 1981"
"aapeua1981360/","APPLE AND PEAR EXPORT UNDERWRITING ACT 1981 NO. 14, 1981"
"aapsaa1981342/","APPLE AND PEAR STABILIZATION AMENDMENT ACT 1981 NO. 15, 1981"
"aaapcaa1981437/","AUSTRALIAN APPLE AND PEAR CORPORATION AMENDMENT ACT 1981 NO. 16, 1981"
"bcyaa1981453/","BOUNTY (POLYESTER COTTON YARN) AMENDMENT ACT 1981 NO. 17, 1981"
"bawa1981324/","BOUNTY (NON ADJUSTABLE WRENCHES) ACT 1981 NO. 18, 1981"
"ceaa1981187/","COAL EXCISE AMENDMENT ACT 1981 NO. 19, 1981"
"pwcaa1981333/","PUBLIC WORKS COMMITTEE AMENDMENT ACT 1981 NO. 20, 1981"
