"url","name"
"jaa1986192/","JUDICIARY AMENDMENT ACT 1986 NO. 1, 1986"
"batlaa1986450/","BROADCASTING AND TELEVISION LEGISLATION AMENDMENT ACT 1986 NO. 2, 1986"
"ctecaa1986541/","COMMONWEALTH TERTIARY EDUCATION COMMISSION AMENDMENT ACT 1986 NO. 3, 1986"
"faca1986306/","FEDERAL AIRPORTS CORPORATION ACT 1986 NO. 4, 1986"
"sspopaa1986681/","SOCIAL SECURITY (PROPORTIONAL PORTABILITY OF PENSIONS) AMENDMENT ACT 1986 NO. 5, 1986"
"blfora1986551/","BUILDERS LABOURERS' FEDERATION (CANCELLATION OF REGISTRATION) ACT 1986 NO. 6, 1986"
"blforpa1986839/","BUILDERS LABOURERS' FEDERATION (CANCELLATION OF REGISTRATION-CONSEQUENTIAL PROVISIONS) ACT 1986 NO. 7, 1986"
"tpomdaa1986472/","TRADE PRACTICES (TRANSFER OF MARKET DOMINANCE) AMENDMENT ACT 1986 NO. 8 OF 1986"
"pcoia1986405/","PARLIAMENTARY COMMISSION OF INQUIRY ACT 1986 NO. 9, 1986"
"capacaa1986818/","CUSTOMS ADMINISTRATION (TRANSITIONAL PROVISIONS AND CONSEQUENTIAL AMENDMENTS) ACT 1986 NO. 10, 1986"
"pomcha1986393/","PROTECTION OF MOVABLE CULTURAL HERITAGE ACT 1986 NO. 11, 1986"
"lecaa1986336/","LIVE-STOCK EXPORT CHARGE AMENDMENT ACT 1986 NO. 12, 1986"
"diraplaa1986573/","DAIRYING INDUSTRY RESEARCH AND PROMOTION LEVY AMENDMENT ACT 1986 NO. 13, 1986"
"ceaa1986353/","COMMUNITY EMPLOYMENT AMENDMENT ACT 1986 NO. 14, 1986"
"aapeuaa1986440/","APPLE AND PEAR EXPORT UNDERWRITING AMENDMENT ACT 1986 NO. 15, 1986"
"aaapcaa1986437/","AUSTRALIAN APPLE AND PEAR CORPORATION AMENDMENT ACT 1986 NO. 16, 1986"
"tpra1986252/","TRADE PRACTICES REVISION ACT 1986 NO. 17 OF 1986"
"oclra1986413/","OIL COMPANIES (STOCK LOSS REIMBURSEMENT) ACT 1986 NO. 18, 1986"
"wiaa1986284/","WOOL INDUSTRY AMENDMENT ACT 1986 NO. 19 OF 1986"
"etaa1986214/","EXCISE TARIFF AMENDMENT ACT 1986 NO. 20, 1986"
"brlaa1986287/","BARLEY RESEARCH LEVY AMENDMENT ACT 1986 NO. 21, 1986"
"dflaa1986283/","DRIED FRUITS LEVY AMENDMENT ACT 1986 NO. 22, 1986"
"lslaa1986370/","LIVE-STOCK SLAUGHTER LEVY AMENDMENT ACT 1986 NO. 23, 1986"
"mclaa1986242/","MEAT CHICKEN LEVY AMENDMENT ACT 1986 NO. 24, 1986"
"pslaa1986292/","PIG SLAUGHTER LEVY AMENDMENT ACT 1986 NO. 25, 1986"
"mosaa1986297/","MINISTERS OF STATE AMENDMENT ACT 1986 NO. 26, 1986"
"vea1986261/","VETERANS' ENTITLEMENTS ACT 1986 NO. 27 OF 1986"
"vepacaa1986803/","VETERANS' ENTITLEMENTS (TRANSITIONAL PROVISIONS AND CONSEQUENTIAL AMENDMENTS) ACT 1986 NO. 28 OF 1986"
"vepacaaa1986883/","VETERANS' ENTITLEMENTS (TRANSITIONAL PROVISIONS AND CONSEQUENTIAL AMENDMENTS) AMENDMENT ACT 1986 NO. 29 OF 1986"
"aa3198586n301986230/","APPROPRIATION ACT (NO. 3) 1985-86 NO. 30, 1986"
"aa4198586n311986230/","APPROPRIATION ACT (NO. 4) 1985-86 NO. 31, 1986"
"ada2198586n321986494/","APPROPRIATION (PARLIAMENTARY DEPARTMENTS) ACT (NO. 2) 1985-86 NO. 32, 1986"
"sslaa1986378/","SOCIAL SECURITY LEGISLATION AMENDMENT ACT 1986 NO. 33, 1986"
"caelaa1986391/","CUSTOMS AND EXCISE LEGISLATION AMENDMENT ACT 1986 NO. 34, 1986"
"afpaa1986305/","AUSTRALIAN FEDERAL POLICE AMENDMENT ACT 1986 NO. 35, 1986"
"ctaa1986258/","CUSTOMS TARIFF AMENDMENT ACT 1986 NO. 36, 1986"
"baslaa1986412/","BOUNTY AND SUBSIDY LEGISLATION AMENDMENT ACT 1986 NO. 37, 1986"
"dtcaa1986340/","DEPARTURE TAX COLLECTION AMENDMENT ACT 1986 NO. 38, 1986"
"fbtaa1986312/","FRINGE BENEFITS TAX ASSESSMENT ACT 1986 NO. 39, 1986"
"fbta1986188/","FRINGE BENEFITS TAX ACT 1986 NO. 40, 1986"
"fbtpa1986469/","FRINGE BENEFITS TAX (MISCELLANEOUS PROVISIONS) ACT 1986 NO. 41, 1986"
"fbtttca1986486/","FRINGE BENEFITS TAX (APPLICATION TO THE COMMONWEALTH) ACT 1986 NO. 42, 1986"
"sa1198687n431986178/","SUPPLY ACT (NO. 1) 1986-87 NO. 43, 1986"
"sa2198687n441986178/","SUPPLY ACT (NO. 2) 1986-87 NO. 44, 1986"
"sda198687n451986415/","SUPPLY (PARLIAMENTARY DEPARTMENTS) ACT 1986-87 NO. 45, 1986"
"tlaa1986248/","TAXATION LAWS AMENDMENT ACT 1986 NO. 46, 1986"
"toua1986408/","TAXATION (INTEREST ON UNDERPAYMENTS) ACT 1986 NO. 47, 1986"
"tboroja1986516/","TAXATION BOARDS OF REVIEW (TRANSFER OF JURISDICTION) ACT 1986 NO. 48, 1986"
"tlaa21986275/","TAXATION LAWS AMENDMENT ACT (NO. 2) 1986 NO. 49, 1986"
"itaatra1986627/","INCOME TAX (SECURITIES AND AGREEMENTS) (WITHHOLDING TAX RECOUPMENT) ACT 1986 NO. 50, 1986"
"tlatca1986428/","TAXATION LAWS AMENDMENT (FOREIGN TAX CREDITS) ACT 1986 NO. 51 OF 1986"
"itaaga1986420/","INCOME TAX ASSESSMENT AMENDMENT (CAPITAL GAINS) ACT 1986 NO. 52, 1986"
"itaga1986354/","INCOME TAX (RATES) AMENDMENT (CAPITAL GAINS) ACT 1986 NO. 53, 1986"
"dpa1986148/","DAIRY PRODUCE ACT 1986 NO. 54, 1986"
"dpl1a1986235/","DAIRY PRODUCE LEVY (NO. 1) ACT 1986 NO. 55, 1986"
"dpl2a1986235/","DAIRY PRODUCE LEVY (NO. 2) ACT 1986 NO. 56, 1986"
"dislola1986605/","DAIRY INDUSTRY STABILIZATION LEVY (TERMINATION OF LEVY) ACT 1986 NO. 57, 1986"
"diraplola1986699/","DAIRYING INDUSTRY RESEARCH AND PROMOTION LEVY (TERMINATION OF LEVY) ACT 1986 NO. 58, 1986"
"dlpacaa1986727/","DAIRY LEGISLATION (TRANSITIONAL PROVISIONS AND CONSEQUENTIAL AMENDMENTS) ACT 1986 NO. 59, 1986"
"awabcaa1986461/","AUSTRALIAN WINE AND BRANDY CORPORATION AMENDMENT ACT 1986 NO. 60, 1986"
"wglaa1986268/","WINE GRAPES LEVY AMENDMENT ACT 1986 NO. 61 OF 1986"
"wrra1986188/","WINE RESEARCH REPEAL ACT 1986 NO. 62 OF 1986"
"grla1986192/","GRAPE RESEARCH LEVY ACT 1986 NO. 63, 1986"
"grlca1986290/","GRAPE RESEARCH LEVY COLLECTION ACT 1986 NO. 64, 1986"
"sgaaeaa1986680/","STATES GRANTS (EDUCATION ASSISTANCE-PARTICIPATION AND EQUITY) AMENDMENT ACT 1986 NO. 65, 1986"
"sgaaa1986436/","STATES GRANTS (SCHOOLS ASSISTANCE) AMENDMENT ACT 1986 NO. 66, 1986"
"sgeaaa1986543/","STATES GRANTS (TERTIARY EDUCATION ASSISTANCE) AMENDMENT ACT 1986 NO. 67, 1986"
"caslaa1986433/","COMPANIES AND SECURITIES LEGISLATION AMENDMENT ACT 1986 NO. 68, 1986"
"anaa1986228/","AIR NAVIGATION AMENDMENT ACT 1986 NO. 69, 1986"
"acaa1986334/","AUSTRALIAN CITIZENSHIP AMENDMENT ACT 1986 NO. 70, 1986"
"maa1986198/","MIGRATION AMENDMENT ACT 1986 NO. 71, 1986"
"fia1986246/","FUTURES INDUSTRY ACT 1986 NO. 72, 1986"
"fia1986277/","FUTURES INDUSTRY (FEES) ACT 1986 NO. 73, 1986"
"caslaia1986658/","COMPANIES AND SECURITIES LEGISLATION AMENDMENT (FUTURES INDUSTRY) ACT 1986 NO. 74, 1986"
"hlaa1986261/","HEALTH LEGISLATION AMENDMENT ACT 1986 NO. 75, 1986"
"slpa11986461/","STATUTE LAW (MISCELLANEOUS PROVISIONS) ACT (NO. 1) 1986 NO. 76, 1986"
"amalcaa1986498/","AUSTRALIAN MEAT AND LIVE-STOCK CORPORATION AMENDMENT ACT 1986 NO. 77, 1986"
"caa1986213/","COPYRIGHT AMENDMENT ACT 1986 NO. 78, 1986"
"lgaa1986342/","LOCAL GOVERNMENT (FINANCIAL ASSISTANCE) ACT 1986 NO. 79, 1986"
"slaa1986387/","SUPERANNUATION LEGISLATION AMENDMENT ACT 1986 NO. 80, 1986"
"potsopfsaa1986683/","PROTECTION OF THE SEA (PREVENTION OF POLLUTION FROM SHIPS) AMENDMENT ACT 1986 NO. 81, 1986"
"wmaa1986242/","WHEAT MARKETING AMENDMENT ACT 1986 NO. 82 OF 1986"
"aatsihpaa1986710/","ABORIGINAL AND TORRES STRAIT ISLANDER HERITAGE (INTERIM PROTECTION) AMENDMENT ACT 1986 NO. 83, 1986"
"tc1aa1986216/","TOBACCO CHARGE (NO. 1) AMENDMENT ACT 1986 NO. 84 OF 1986"
"tc2aa1986216/","TOBACCO CHARGE (NO. 2) AMENDMENT ACT 1986 NO. 85 OF 1986"
"tc3aa1986216/","TOBACCO CHARGE (NO. 3) AMENDMENT ACT 1986 NO. 86 OF 1986"
"faa1986329/","FERTILIZERS (SUBSIDY) AMENDMENT ACT 1986 NO. 87, 1986"
"doppaa1986423/","DIRECTOR OF PUBLIC PROSECUTIONS AMENDMENT ACT 1986 NO. 88, 1986"
"irada1986348/","INDUSTRY RESEARCH AND DEVELOPMENT ACT 1986 NO. 89, 1986"
"itaaada1986525/","INCOME TAX ASSESSMENT AMENDMENT (RESEARCH AND DEVELOPMENT) ACT 1986 NO. 90, 1986"
"aaeofwa1986634/","AFFIRMATIVE ACTION (EQUAL EMPLOYMENT OPPORTUNITY FOR WOMEN) ACT 1986 NO. 91, 1986"
"pcoia1986456/","PARLIAMENTARY COMMISSION OF INQUIRY (REPEAL) ACT 1986 NO. 92, 1986"
"saoblaa1986536/","SUPERANNUATION AND OTHER BENEFITS LEGISLATION AMENDMENT ACT 1986 NO. 93, 1986"
"hlaa21986288/","HEALTH LEGISLATION AMENDMENT ACT (NO. 2) 1986 NO. 94, 1986"
"la198659/","LOAN ACT 1986 NO. 95, 1986"
"tutaaa1986424/","TRADE UNION TRAINING AUTHORITY AMENDMENT ACT 1986 NO. 96 OF 1986"
"ctaa21986285/","CUSTOMS TARIFF AMENDMENT ACT (NO. 2) 1986 NO. 97, 1986"
"stacaa1986484/","SALES TAX (EXEMPTIONS AND CLASSIFICATIONS) AMENDMENT ACT 1986 NO. 98, 1986"
"stlaa1986245/","SALES TAX LAWS AMENDMENT ACT 1986 NO. 99, 1986"
"staaa1986233/","SALES TAX ACTS AMENDMENT ACT 1986 NO. 100, 1986"
"ioiasa1986436/","INSPECTOR-GENERAL OF INTELLIGENCE AND SECURITY ACT 1986 NO. 101, 1986"
"iasaa1986492/","INTELLIGENCE AND SECURITY (CONSEQUENTIAL AMENDMENTS) ACT 1986 NO. 102, 1986"
"aiosa1986357/","AUSTRALIAN INSTITUTE OF SPORT ACT 1986 NO. 103, 1986"
"aiospa1986645/","AUSTRALIAN INSTITUTE OF SPORT (CONSEQUENTIAL PROVISIONS) ACT 1986 NO. 104, 1986"
"raaaa1986378/","REMUNERATION AND ALLOWANCES ALTERATION ACT 1986 NO. 105, 1986"
"ssavaaa1986584/","SOCIAL SECURITY AND VETERANS' AFFAIRS (MISCELLANEOUS AMENDMENTS) ACT 1986 NO. 106, 1986"
"itra1986174/","INCOME TAX RATES ACT 1986 NO. 107, 1986"
"ita1986116/","INCOME TAX ACT 1986 NO. 108, 1986"
"tlpa1986449/","TAXATION LAWS (MISCELLANEOUS PROVISIONS) ACT 1986 NO. 109 OF 1986"
"mla1986131/","MEDICARE LEVY ACT 1986 NO. 110, 1986"
"foilaa1986353/","FREEDOM OF INFORMATION LAWS AMENDMENT ACT 1986 NO. 111, 1986"
"tlaa31986275/","TAXATION LAWS AMENDMENT ACT (NO. 3) 1986 NO. 112, 1986"
"badtaa1986290/","BANK ACCOUNT DEBITS TAX AMENDMENT ACT 1986 NO. 113, 1986"
"saaa1986297/","STUDENT ASSISTANCE AMENDMENT ACT 1986 NO. 114, 1986"
"nhahlaa1986470/","NURSING HOMES AND HOSTELS LEGISLATION AMENDMENT ACT 1986 NO. 115, 1986"
"ada198687n1161986467/","APPROPRIATION (PARLIAMENTARY DEPARTMENTS) ACT 1986-87 NO. 116, 1986"
"aa1198687n1171986230/","APPROPRIATION ACT (NO. 1) 1986-87 NO. 117, 1986"
"aa2198687n1181986230/","APPROPRIATION ACT (NO. 2) 1986-87 NO. 118, 1986"
"baslaa21986439/","BOUNTY AND SUBSIDY LEGISLATION AMENDMENT ACT (NO. 2) 1986 NO. 119, 1986"
"wpoeaiaa1986658/","WILDLIFE PROTECTION (REGULATION OF EXPORTS AND IMPORTS) AMENDMENT ACT 1986 NO. 120 OF 1986"
"sairlaa1986471/","SCIENCE AND INDUSTRY RESEARCH LEGISLATION AMENDMENT ACT 1986 NO. 121, 1986"
"asioaa1986559/","AUSTRALIAN SECURITY INTELLIGENCE ORGANIZATION AMENDMENT ACT 1986 NO. 122, 1986"
"craa1986299/","CRIMINOLOGY RESEARCH AMENDMENT ACT 1986 NO. 123, 1986"
"sahaaa1986462/","STATES (WORKS AND HOUSING) ASSISTANCE AMENDMENT ACT 1986 NO. 124, 1986"
"hraeoca1986512/","HUMAN RIGHTS AND EQUAL OPPORTUNITY COMMISSION ACT 1986 NO. 125, 1986"
"hraeocpacaa19861054/","HUMAN RIGHTS AND EQUAL OPPORTUNITY COMMISSION (TRANSITIONAL PROVISIONS AND CONSEQUENTIAL AMENDMENTS) ACT 1986 NO. 126, 1986"
"ba1986169/","BOUNTY (BOOKS) ACT 1986 NO. 127, 1986"
"bra1986221/","BOUNTY (SHIP REPAIR) ACT 1986 NO. 128, 1986"
"dsa1986213/","DISABILITY SERVICES ACT 1986 NO. 129, 1986"
"dspacaa1986755/","DISABILITY SERVICES (TRANSITIONAL PROVISIONS AND CONSEQUENTIAL AMENDMENTS) ACT 1986 NO. 130, 1986"
"fsa1986242/","FERTILISERS SUBSIDY ACT 1986 NO. 131, 1986"
"naa1986203/","NAVIGATION AMENDMENT ACT 1986 NO. 132, 1986"
"smaea1986439/","SUBSIDY (CULTIVATION MACHINES AND EQUIPMENT) ACT 1986 NO. 133, 1986"
"sgeaaa21986570/","STATES GRANTS (TERTIARY EDUCATION ASSISTANCE) AMENDMENT ACT (NO. 2) 1986 NO. 134, 1986"
"anuaa1986437/","AUSTRALIAN NATIONAL UNIVERSITY AMENDMENT ACT 1986 NO. 135, 1986"
"ccoaeaa1986355/","CANBERRA COLLEGE OF ADVANCED EDUCATION AMENDMENT ACT 1986 NO. 136, 1986"
"mcaa1986233/","MARITIME COLLEGE AMENDMENT ACT 1986 NO. 137, 1986"
"oscaa1986347/","OVERSEAS STUDENTS CHARGE AMENDMENT ACT 1986 NO. 138, 1986"
"osccaa1986445/","OVERSEAS STUDENTS CHARGE COLLECTION AMENDMENT ACT 1986 NO. 139, 1986"
"spnfzta1986375/","SOUTH PACIFIC NUCLEAR FREE ZONE TREATY ACT 1986 NO. 140, 1986"
"epdaa1986463/","ENVIRONMENT PROTECTION (SEA DUMPING) AMENDMENT ACT 1986 NO. 141, 1986"
"hdaaa1986319/","HOME DEPOSIT ASSISTANCE AMENDMENT ACT 1986 NO. 142, 1986"
"ifiia1986509/","INTERNATIONAL FINANCIAL INSTITUTIONS (SHARE INCREASE) ACT 1986 NO. 143, 1986"
"taaotda1986558/","TAXATION ADMINISTRATION AMENDMENT (RECOVERY OF TAX DEBTS) ACT 1986 NO. 144, 1986"
"capoa1986268/","CHEQUES AND PAYMENT ORDERS ACT 1986 NO. 145, 1986"
"boeaa1986228/","BILLS OF EXCHANGE AMENDMENT ACT 1986 NO. 146, 1986"
"actsdaa1986531/","AUSTRALIAN CAPITAL TERRITORY STAMP DUTY AMENDMENT ACT 1986 NO. 147, 1986"
"acttomsa1986689/","AUSTRALIAN CAPITAL TERRITORY TAX (TRANSFERS OF MARKETABLE SECURITIES) ACT 1986 NO. 148, 1986"
"caelaa21986418/","CUSTOMS AND EXCISE LEGISLATION AMENDMENT ACT (NO. 2) 1986 NO. 149, 1986"
"ctaa31986285/","CUSTOMS TARIFF AMENDMENT ACT (NO. 3) 1986 NO. 150, 1986"
"slaa21986414/","SUPERANNUATION LEGISLATION AMENDMENT ACT (NO. 2) 1986 NO. 151, 1986"
"ssawia1986514/","SOCIAL SECURITY AMENDMENT (RECIPROCITY WITH ITALY) ACT 1986 NO. 152, 1986"
"psla1986393/","PUBLIC SERVICE LEGISLATION (STREAMLINING) ACT 1986 NO. 153, 1986"
"tlaa41986275/","TAXATION LAWS AMENDMENT ACT (NO. 4) 1986 NO. 154 OF 1986"
"sgaaa21986463/","STATES GRANTS (SCHOOLS ASSISTANCE) AMENDMENT ACT (NO. 2) 1986 NO. 155, 1986"
"sgapaeaa21986707/","STATES GRANTS (EDUCATION ASSISTANCE - PARTICIPATION AND EQUITY) AMENDMENT ACT (NO. 2) 1986 NO. 156, 1986"
"pia1986172/","PIG INDUSTRY ACT 1986 NO. 157, 1986"
"pipa1986458/","PIG INDUSTRY (TRANSITIONAL PROVISIONS) ACT 1986 NO. 158, 1986"
