"url","name"
"rca193311933251/","ROYAL COMMISSIONS ACT 1933 (NO. 1, 1933)"
"pca193321933247/","PETROL COMMISSION ACT 1933 (NO. 2, 1933)"
"cgca193331933370/","COMMONWEALTH GRANTS COMMISSION ACT 1933 (NO. 3, 1933)"
"soga193341933383/","SEAT OF GOVERNMENT (ADMINISTRATION) ACT 1933 (NO. 4, 1933)"
"cisa193351933315/","COMMONWEALTH INSCRIBED STOCK ACT 1933 (NO. 5, 1933)"
"fea193361933194/","FINANCIAL EMERGENCY ACT 1933 (NO. 6, 1933)"
"sa119333471933178/","SUPPLY ACT (NO 1) 1933-34 (NO. 7, 1933)"
"aataa193381933434/","AUSTRALIAN ANTARCTIC TERRITORY ACCEPTANCE ACT 1933 (NO. 8, 1933)"
"cfeca193391933352/","CANNED FRUITS EXPORT CONTROL ACT 1933 (NO. 9, 1933)"
"saa193132101933375/","SUPPLEMENTARY APPROPRIATION ACT 1931-32 (NO. 10, 1933)"
"saaba193132111933560/","SUPPLEMENTARY APPROPRIATION (WORKS AND BUILDINGS) ACT 1931-32 (NO. 11, 1933)"
"aioaaa1933121933462/","AUSTRALIAN INSTITUTE OF ANATOMY AGREEMENT ACT 1933 (NO. 12, 1933)"
"cda1933131933297/","COMMERCE (TRADE DESCRIPTIONS) ACT 1933 (NO. 13, 1933)"
"sa2193334141933178/","SUPPLY ACT (NO 2) 1933-34 (NO. 14, 1933)"
"aaba193334151933388/","APPROPRIATION (WORKS AND BUILDINGS) ACT 1933-34 (NO. 15, 1933)"
"lfea1933161933257/","LOAN FUND EXPENDITURE ACT 1933 (NO. 16, 1933)"
"fra1933171933157/","FINANCIAL RELIEF ACT 1933 (NO. 17, 1933)"
"nta1933181933443/","NORTHERN TERRITORY (ADMINISTRATION) ACT 1933 (NO. 18, 1933)"
"orda1933191933287/","OFFICERS' RIGHTS DECLARATION ACT 1933 (NO. 19, 1933)"
"et1933201933140/","EXCISE TARIFF 1933 (NO. 20, 1933)"
"et21933211933167/","EXCISE TARIFF (NO 2) 1933 (NO. 21, 1933)"
"sa3193334221933178/","SUPPLY ACT (NO 3) 1933-34 (NO. 22, 1933)"
"sa1933231933151/","SPIRITS ACT 1933 (NO. 23, 1933)"
"ctzpaa1933241933464/","CUSTOMS TARIFF (NEW ZEALAND PREFERENCE) AGREEMENT ACT 1933 (NO. 24, 1933)"
"stazia1933251933463/","SALES TAX ASSESSMENT (NEW ZEALAND IMPORTS) ACT 1933 (NO. 25, 1933)"
"ctzp1933261933364/","CUSTOMS TARIFF (NEW ZEALAND PREFERENCE) 1933 (NO. 26, 1933)"
"ct1933271933184/","CUSTOMS TARIFF 1933 (NO. 27, 1933)"
"iaspba1933281933371/","IRON AND STEEL PRODUCTS BOUNTY ACT 1933 (NO. 28, 1933)"
"ctaa1933291933381/","CUSTOMS TARIFF (EXCHANGE ADJUSTMENT) ACT 1933 (NO. 29, 1933)"
"ctpa1933301933483/","CUSTOMS TARIFF (INDUSTRIES PRESERVATION) ACT 1933 (NO. 30, 1933)"
"ct21933311933211/","CUSTOMS TARIFF (NO 2) 1933 (NO. 31, 1933)"
"msaa1933321933325/","MIGRANT SETTLEMENT AGREEMENT ACT 1933 (NO. 32, 1933)"
"aa193334331933203/","APPROPRIATION ACT 1933-34 (NO. 33, 1933)"
"sogsca1933341933393/","SEAT OF GOVERNMENT SUPREME COURT ACT 1933 (NO. 34, 1933)"
"ea1933351933176/","EXTRADITION ACT 1933 (NO. 35, 1933)"
"da1933361933118/","DESIGNS ACT 1933 (NO. 36, 1933)"
"ia1933371933165/","IMMIGRATION ACT 1933 (NO. 37, 1933)"
"cpsa1933381933309/","COMMONWEALTH PUBLIC SERVICE ACT 1933 (NO. 38, 1933)"
"fgra1933391933264/","FRUIT GROWERS' RELIEF ACT 1933 (NO. 39, 1933)"
"itaa1933401933267/","INCOME TAX ASSESSMENT ACT 1933 (NO. 40, 1933)"
"ita1933411933143/","INCOME TAX ACT 1933 (NO. 41, 1933)"
"wgra1933421933247/","WHEAT GROWERS RELIEF ACT 1933 (NO. 42, 1933)"
"ftaa1933431933281/","FLOUR TAX ASSESSMENT ACT 1933 (NO. 43, 1933)"
"fta11933441933184/","FLOUR TAX ACT (NO 1) 1933 (NO. 44, 1933)"
"fta21933451933184/","FLOUR TAX ACT (NO 2) 1933 (NO. 45, 1933)"
"fta31933461933184/","FLOUR TAX ACT (NO 3) 1933 (NO. 46, 1933)"
"staa11933471933292/","SALES TAX ASSESSMENT ACT (NO 1) 1933 (NO. 47, 1933)"
"staa21933481933292/","SALES TAX ASSESSMENT ACT (NO 2) 1933 (NO. 48, 1933)"
"staa31933491933292/","SALES TAX ASSESSMENT ACT (NO 3) 1933 (NO. 49, 1933)"
"staa41933501933292/","SALES TAX ASSESSMENT ACT (NO 4) 1933 (NO. 50, 1933)"
"staa51933511933292/","SALES TAX ASSESSMENT ACT (NO 5) 1933 (NO. 51, 1933)"
"staa61933521933292/","SALES TAX ASSESSMENT ACT (NO 6) 1933 (NO. 52, 1933)"
"staa71933531933292/","SALES TAX ASSESSMENT ACT (NO 7) 1933 (NO. 53, 1933)"
"staa81933541933292/","SALES TAX ASSESSMENT ACT (NO 8) 1933 (NO. 54, 1933)"
"staa91933551933292/","SALES TAX ASSESSMENT ACT (NO 9) 1933 (NO. 55, 1933)"
"iaopa1933561933269/","INVALID AND OLD-AGE PENSIONS ACT 1933 (NO. 56, 1933)"
"pa1933571933136/","PATENTS ACT 1933 (NO. 57, 1933)"
"dpa1933581933175/","DAIRY PRODUCE ACT 1933 (NO. 58, 1933)"
"dfa1933591933170/","DRIED FRUITS ACT 1933 (NO. 59, 1933)"
"aaciaa1933601933335/","ASHMORE AND CARTIER ISLANDS ACCEPTANCE ACT 1933 (NO. 60, 1933)"
"wpaa1933611933345/","WAR PENSIONS APPROPRIATION ACT 1933 (NO. 61, 1933)"
"saa1933621933206/","SILVER AGREEMENT ACT 1933 (NO. 62, 1933)"
"hcpa1933631933244/","HIGH COURT PROCEDURE ACT 1933 (NO. 63, 1933)"
"iaopaa1933641933424/","INVALID AND OLD-AGE PENSIONS APPROPRIATION ACT 1933 (NO. 64, 1933)"
"ja1933651933139/","JUDICIARY ACT 1933 (NO. 65, 1933)"
"ba1933661933169/","BANKRUPTCY ACT 1933 (NO. 66, 1933)"
"waa1933671933226/","WHEAT ACQUISITION ACT 1933 (NO. 67, 1933)"
"ca1933681933160/","COPYRIGHT ACT 1933 (NO. 68, 1933)"
"tba1933691933137/","TARIFF BOARD ACT 1933 (NO. 69, 1933)"
"saga1933701933274/","SOUTH AUSTRALIA GRANT ACT 1933 (NO. 70, 1933)"
"waga1933711933293/","WESTERN AUSTRALIA GRANT ACT 1933 (NO. 71, 1933)"
"tga1933721933173/","TASMANIA GRANT ACT 1933 (NO. 72, 1933)"
"cidaa1933731933328/","COCKATOO ISLAND DOCKYARD AGREEMENT ACT 1933 (NO. 73, 1933)"
"tca1933741933249/","TRADE COMMISSIONERS ACT 1933 (NO. 74, 1933)"
