"url","name"
"mosa195611956244/","MINISTERS OF STATE ACT 1956 (NO. 1, 1956)"
"meca195621956290/","MEAT EXPORT (ADDITIONAL CHARGE) ACT 1956 (NO. 2, 1956)"
"mapa195631956340/","MEAT AGREEMENT (DEFICIENCY PAYMENTS) ACT 1956 (NO. 3, 1956)"
"fa195641956137/","FISHERIES ACT 1956 (NO. 4, 1956)"
"staca195651956431/","SALES TAX (EXEMPTIONS AND CLASSIFICATIONS) ACT 1956 (NO. 5, 1956)"
"sta1195661956168/","SALES TAX ACT (NO. 1) 1956 (NO. 6, 1956)"
"sta2195671956168/","SALES TAX ACT (NO. 2) 1956 (NO. 7, 1956)"
"sta3195681956168/","SALES TAX ACT (NO. 3) 1956 (NO. 8, 1956)"
"sta4195691956168/","SALES TAX ACT (NO. 4) 1956 (NO. 9, 1956)"
"sta51956101956168/","SALES TAX ACT (NO. 5) 1956 (NO. 10, 1956)"
"sta61956111956168/","SALES TAX ACT (NO. 6) 1956 (NO. 11, 1956)"
"sta71956121956168/","SALES TAX ACT (NO. 7) 1956 (NO. 12, 1956)"
"sta81956131956168/","SALES TAX ACT (NO. 8) 1956 (NO. 13, 1956)"
"sta91956141956168/","SALES TAX ACT (NO. 9) 1956 (NO. 14, 1956)"
"ct1956151956184/","CUSTOMS TARIFF 1956 (NO. 15, 1956)"
"et1956161956140/","EXCISE TARIFF 1956 (NO. 16, 1956)"
"swsa1956171956434/","STATISTICS (ARRANGEMENTS WITH STATES) ACT 1956 (NO. 17, 1956)"
"saa1956181956241/","SALARIES ADJUSTMENT ACT 1956 (NO. 18, 1956)"
"sa1956191956222/","SUPERANNUATION ACT 1956 (NO. 19, 1956)"
"toaa1956201956333/","TRANSFERRED OFFICERS' ALLOWANCES ACT 1956 (NO. 20, 1956)"
"wiara1956211956309/","WHALING INDUSTRY ACT REPEAL ACT 1956 (NO. 21, 1956)"
"fia1956221956235/","FISHING INDUSTRY ACT 1956 (NO. 22, 1956)"
"giaa1956231956364/","GOLD-MINING INDUSTRY ASSISTANCE ACT 1956 (NO. 23, 1956)"
"dfrba1956241956332/","DEFENCE FORCES RETIREMENT BENEFITS ACT 1956 (NO. 24, 1956)"
"itasscaa1956251956576/","INCOME TAX AND SOCIAL SERVICES CONTRIBUTION ASSESSMENT ACT 1956 (NO. 25, 1956)"
"aa2195556261956230/","APPROPRIATION ACT (NO. 2) 1955-56 (NO. 26, 1956)"
"aasa2195556271956419/","APPROPRIATION (WORKS AND SERVICES) ACT (NO. 2) 1955-56 (NO. 27, 1956)"
"itassca1956281956538/","INCOME TAX AND SOCIAL SERVICES CONTRIBUTION (COMPANIES) ACT 1956 (NO. 28, 1956)"
"paa1956291956283/","PARLIAMENTARY ALLOWANCES ACT 1956 (NO. 29, 1956)"
"itasscaa21956301956603/","INCOME TAX AND SOCIAL SERVICES CONTRIBUTION ASSESSMENT ACT (NO. 2) 1956 (NO. 30, 1956)"
"cara1956311956241/","COMMONWEALTH AID ROADS ACT 1956 (NO. 31, 1956)"
"epica1956321956473/","EXPORT PAYMENTS INSURANCE CORPORATION ACT 1956 (NO. 32, 1956)"
"bata1956331956285/","BROADCASTING AND TELEVISION ACT 1956 (NO. 33, 1956)"
"batslfa1956341956469/","BROADCASTING AND TELEVISION STATIONS LICENCE FEES ACT 1956 (NO. 34, 1956)"
"sa1195657351956178/","SUPPLY ACT (NO. 1) 1956-57 (NO. 35, 1956)"
"sasa1195657361956367/","SUPPLY (WORKS AND SERVICES) ACT (NO. 1) 1956-57 (NO. 36, 1956)"
"sga1956371956357/","STATES GRANTS (UNIVERSITIES) ACT 1956 (NO. 37, 1956)"
"cafba1956381956312/","CELLULOSE ACETATE FLAKE BOUNTY ACT 1956 (NO. 38, 1956)"
"ryba1956391956261/","RAYON YARN BOUNTY ACT 1956 (NO. 39, 1956)"
"tba1956401956227/","TRACTOR BOUNTY ACT 1956 (NO. 40, 1956)"
"acsca1956411956427/","AUSTRALIAN COASTAL SHIPPING COMMISSION ACT 1956 (NO. 41, 1956)"
"acsaa1956421956387/","AUSTRALIAN COASTAL SHIPPING AGREEMENT ACT 1956 (NO. 42, 1956)"
"haa1956431956213/","HOUSING AGREEMENT ACT 1956 (NO. 43, 1956)"
"caaa1956441956292/","CONCILIATION AND ARBITRATION ACT 1956 (NO. 44, 1956)"
"smhpa1956451956460/","SNOWY MOUNTAINS HYDRO-ELECTRIC POWER ACT 1956 (NO. 45, 1956)"
"na1956461956150/","NAVIGATION ACT 1956 (NO. 46, 1956)"
"actsca1956471956510/","AUSTRALIAN CAPITAL TERRITORY SUPREME COURT ACT 1956 (NO. 47, 1956)"
"ea1956481956107/","EVIDENCE ACT 1956 (NO. 48, 1956)"
"jpa1956491956211/","JUDGES' PENSIONS ACT 1956 (NO. 49, 1956)"
"nta1956501956443/","NORTHERN TERRITORY (ADMINISTRATION) ACT 1956 (NO. 50, 1956)"
"psaa1956511956295/","PUBLIC SERVICE ARBITRATION ACT 1956 (NO. 51, 1956)"
"cia1956521956197/","COAL INDUSTRY ACT 1956 (NO. 52, 1956)"
"sia1956531956297/","STEVEDORING INDUSTRY ACT 1956 (NO. 53, 1956)"
"sgmilsla1956541956566/","STATES GRANTS (COAL MINING INDUSTRY LONG SERVICE LEAVE) ACT 1956 (NO. 54, 1956)"
"nha1956551956174/","NATIONAL HEALTH ACT 1956 (NO. 55, 1956)"
"saa195455561956375/","SUPPLEMENTARY APPROPRIATION ACT 1954-55 (NO. 56, 1956)"
"saasa195455571956564/","SUPPLEMENTARY APPROPRIATION (WORKS AND SERVICES) ACT 1954-55 (NO. 57, 1956)"
"ct21956581956211/","CUSTOMS TARIFF (NO. 2) 1956 (NO. 58, 1956)"
"et21956591956167/","EXCISE TARIFF (NO. 2) 1956 (NO. 59, 1956)"
"ctp1956601956308/","CUSTOMS TARIFF (CANADIAN PREFERENCE) 1956 (NO. 60, 1956)"
"ctoranp1956611956544/","CUSTOMS TARIFF (FEDERATION OF RHODESIA AND NYASALAND PREFERENCE) 1956 (NO. 61, 1956)"
"ct31956621956211/","CUSTOMS TARIFF (NO. 3) 1956 (NO. 62, 1956)"
"ctangp1956631956425/","CUSTOMS TARIFF (PAPUA AND NEW GUINEA PREFERENCE) 1956 (NO. 63, 1956)"
"cfeca1956641956352/","CANNED FRUITS EXPORT CONTROL ACT 1956 (NO. 64, 1956)"
"bata21956651956312/","BROADCASTING AND TELEVISION ACT (NO. 2) 1956 (NO. 65, 1956)"
"patra1956661956271/","POST AND TELEGRAPH RATES ACT 1956 (NO. 66, 1956)"
"ssa1956671956193/","SOCIAL SERVICES ACT 1956 (NO. 67, 1956)"
"ra1956681956182/","REPATRIATION ACT 1956 (NO. 68, 1956)"
"wpaa1956691956345/","WAR PENSIONS APPROPRIATION ACT 1956 (NO. 69, 1956)"
"aa195657701956203/","APPROPRIATION ACT 1956-57 (NO. 70, 1956)"
"aasa195657711956392/","APPROPRIATION (WORKS AND SERVICES) ACT 1956-57 (NO. 71, 1956)"
"da195672195683/","DEFENCE ACT 1956 (NO. 72, 1956)"
"afa1956731956115/","AIR FORCE ACT 1956 (NO. 73, 1956)"
"da1956741956180/","DISTILLATION ACT 1956 (NO. 74, 1956)"
