"url","name"
"jlpaa1985388/","JUSTICES (LONG LEAVE PAYMENTS) AMENDMENT ACT 1985 NO. 1, 1985"
"qaa1985211/","QUARANTINE AMENDMENT ACT 1985 NO. 2, 1985"
"trta1985276/","TRUST RECOUPMENT TAX ACT 1985 NO. 3 OF 1985"
"trtaa1985516/","TRUST RECOUPMENT TAX (CONSEQUENTIAL AMENDMENTS) ACT 1985 NO. 4 OF 1985"
"hllaa1985335/","HONEY LEVY LEGISLATION AMENDMENT ACT 1985 NO. 5, 1985"
"saa1985161/","SUGAR AGREEMENT ACT 1985 NO. 6, 1985"
"maa1985165/","MARRIAGE AMENDMENT ACT 1985 NO. 7, 1985"
"taa1985430/","TELECOMMUNICATIONS (INTERCEPTION) AMENDMENT ACT 1985 NO. 8 OF 1985"
"trtaa1985400/","TRUST RECOUPMENT TAX ASSESSMENT ACT 1985 NO. 9 OF 1985"
"bmvaa1985425/","BOUNTY (COMMERCIAL MOTOR VEHICLES) AMENDMENT ACT 1985 NO. 10, 1985"
"idaca1985600/","INTERNATIONAL DEVELOPMENT ASSOCIATION (SPECIAL CONTRIBUTION) ACT 1985 NO. 11, 1985"
"amalradca1985623/","AUSTRALIAN MEAT AND LIVE-STOCK RESEARCH AND DEVELOPMENT CORPORATION ACT 1985 NO. 12, 1985"
"amallaatpa1985939/","AUSTRALIAN MEAT AND LIVE-STOCK LEGISLATION (CONSEQUENTIAL AMENDMENTS AND TRANSITIONAL PROVISIONS) ACT 1985 NO. 13, 1985"
"lslaa1985370/","LIVE-STOCK SLAUGHTER LEVY AMENDMENT ACT 1985 NO. 14, 1985"
"lecaa1985336/","LIVE-STOCK EXPORT CHARGE AMENDMENT ACT 1985 NO. 15, 1985"
"aiomaaa1985577/","AUSTRALIAN INSTITUTE OF MULTICULTURAL AFFAIRS AMENDMENT ACT 1985 NO. 16, 1985"
"ecaa1985474/","EXTRADITION (COMMONWEALTH COUNTRIES) AMENDMENT ACT 1985 NO. 17, 1985"
"esaa1985374/","EXTRADITION (FOREIGN STATES) AMENDMENT ACT 1985 NO. 18, 1985"
"scaa1985375/","SOIL CONSERVATION (FINANCIAL ASSISTANCE) ACT 1985 NO. 19, 1985"
"beaa1985480/","BOUNTY (INJECTION-MOULDING EQUIPMENT) AMENDMENT ACT 1985 NO. 20, 1985"
"baa1985222/","BANKRUPTCY AMENDMENT ACT 1985 NO. 21, 1985"
"saaa1985359/","SUPPORTED ACCOMMODATION ASSISTANCE ACT 1985 NO. 22, 1985"
"fhoaa1985293/","FIRST HOME OWNERS AMENDMENT ACT 1985 NO. 23, 1985"
"nwfra1985254/","NATIONAL WELFARE FUND REPEAL ACT 1985 NO. 24, 1985"
"baa1985269/","BANKS (SHAREHOLDINGS) AMENDMENT ACT 1985 NO. 25, 1985"
"eica1985263/","EXPORT INSPECTION CHARGE ACT 1985 NO. 26, 1985"
"eicca1985361/","EXPORT INSPECTION CHARGE COLLECTION ACT 1985 NO. 27, 1985"
"eilaa1985579/","EXPORT INSPECTION LEGISLATION (CONSEQUENTIAL AMENDMENTS) ACT 1985 NO. 28, 1985"
"flaa1985278/","FISHING LEGISLATION AMENDMENT ACT 1985 NO. 29, 1985"
"flaa1985250/","FISHERIES LEVY AMENDMENT ACT 1985 NO. 30, 1985"
"dspuaa1985492/","DRIED SULTANA PRODUCTION UNDERWRITING AMENDMENT ACT 1985 NO. 31, 1985"
"dvfelaa1985467/","DRIED VINE FRUITS EQUALIZATION LEVY AMENDMENT ACT 1985 NO. 32, 1985"
"aiaaa1985482/","AUTOMOTIVE INDUSTRY AUTHORITY AMENDMENT ACT 1985 NO. 33, 1985"
"hliaa1985338/","HOUSING LOANS INSURANCE AMENDMENT ACT 1985 NO. 34, 1985"
"nohasca1985470/","NATIONAL OCCUPATIONAL HEALTH AND SAFETY COMMISSION ACT 1985 NO. 35, 1985"
"aa3198485n361985230/","APPROPRIATION ACT (NO. 3) 1984-85 NO. 36, 1985"
"aa4198485n371985230/","APPROPRIATION ACT (NO. 4) 1984-85 NO. 37, 1985"
"caa1985276/","CUSTOMS ADMINISTRATION ACT 1985 NO. 38, 1985"
"capacaa1985818/","CUSTOMS ADMINISTRATION (TRANSITIONAL PROVISIONS AND CONSEQUENTIAL AMENDMENTS) ACT 1985 NO. 39, 1985"
