"url","name"
"imaaa12001467/","INTERNATIONAL MONETARY AGREEMENTS AMENDMENT ACT (NO. 1) 2001 NO. 1, 2001"
"shfta2001363/","SYDNEY HARBOUR FEDERATION TRUST ACT 2001 NO. 2, 2001"
"nmoaaa2001377/","NATIONAL MUSEUM OF AUSTRALIA AMENDMENT ACT 2001 NO. 3, 2001"
"aatsicaa2001558/","ABORIGINAL AND TORRES STRAIT ISLANDER COMMISSION AMENDMENT ACT 2001 NO. 4, 2001"
"catalaocca2001686/","COMMUNICATIONS AND THE ARTS LEGISLATION AMENDMENT (APPLICATION OF CRIMINAL CODE) ACT 2001 NO. 5, 2001"
"hlaa12001288/","HEALTH LEGISLATION AMENDMENT ACT (NO. 1) 2001 NO. 6, 2001"
"wraa2001371/","WORKPLACE RELATIONS AMENDMENT (TALLIES) ACT 2001 NO. 7, 2001"
"arca2001266/","AUSTRALIAN RESEARCH COUNCIL ACT 2001 NO. 8, 2001"
"arcatpa2001710/","AUSTRALIAN RESEARCH COUNCIL (CONSEQUENTIAL AND TRANSITIONAL PROVISIONS) ACT 2001 NO. 9, 2001"
"dlaotrama2001650/","DEFENCE LEGISLATION AMENDMENT (ENHANCEMENT OF THE RESERVES AND MODERNISATION) ACT 2001 NO. 10, 2001"
"drsa2001340/","DEFENCE RESERVE SERVICE (PROTECTION) ACT 2001 NO. 11, 2001"
"mlaia12001368/","MEDICARE LEVY AMENDMENT (CPI INDEXATION) ACT (NO. 1) 2001 NO. 12, 2001"
"cfacgaa12001596/","CLASSIFICATION (PUBLICATIONS, FILMS AND COMPUTER GAMES) AMENDMENT ACT (NO. 1) 2001 NO. 13, 2001"
"tgaa2001271/","THERAPEUTIC GOODS AMENDMENT ACT 2001 NO. 14, 2001"
"eahlaocca2001650/","ENVIRONMENT AND HERITAGE LEGISLATION AMENDMENT (APPLICATION OF CRIMINAL CODE) ACT 2001 NO. 15, 2001"
"valaocca2001580/","VETERANS' AFFAIRS LEGISLATION AMENDMENT (APPLICATION OF CRIMINAL CODE) ACT 2001 NO. 16, 2001"
"anlcaa2001384/","AIRCRAFT NOISE LEVY COLLECTION AMENDMENT ACT 2001 NO. 17, 2001"
"facslazca2001697/","FAMILY AND COMMUNITY SERVICES LEGISLATION AMENDMENT (NEW ZEALAND CITIZENS) ACT 2001 NO. 18, 2001"
"ada220002001467/","APPROPRIATION (PARLIAMENTARY DEPARTMENTS) ACT (NO. 2) 2000-2001 NO. 19, 2001"
"aa320002001203/","APPROPRIATION ACT (NO. 3) 2000-2001 NO. 20, 2001"
"aa420002001203/","APPROPRIATION ACT (NO. 4) 2000-2001 NO. 21, 2001"
"capa2001357/","CRIMES AMENDMENT (FORENSIC PROCEDURES) ACT 2001 NO. 22, 2001"
"blaa2001314/","BROADCASTING LEGISLATION AMENDMENT ACT 2001 NO. 23, 2001"
"lajlaocca2001560/","LAW AND JUSTICE LEGISLATION AMENDMENT (APPLICATION OF CRIMINAL CODE) ACT 2001 NO. 24, 2001"
"tlaaa2001430/","TAXATION LAWS AMENDMENT (EXCISE ARRANGEMENTS) ACT 2001 NO. 25, 2001"
