"url","name"
"aiaa1980310/","ACTS INTERPRETATION AMENDMENT ACT 1980 NO. 1, 1980"
"aiaa1980353/","AMENDMENTS INCORPORATION AMENDMENT ACT 1980 NO. 2, 1980"
"srpaa1980432/","STATUTORY RULES PUBLICATION AMENDMENT ACT 1980 NO. 3, 1980"
"dshaa1980265/","DEFENCE SERVICE HOMES AMENDMENT ACT 1980 NO. 4, 1980"
"lslsa1980322/","LOAN (WAR SERVICE LAND SETTLEMENT) ACT 1980 NO. 5, 1980"
"cgcaa1980423/","COMMONWEALTH GRANTS COMMISSION AMENDMENT ACT 1980 NO. 6, 1980"
"cslaa1980425/","COMMONWEALTH SERUM LABORATORIES AMENDMENT ACT 1980 NO. 7, 1980"
"pctwwa1980436/","PIPELINE CONSTRUCTION (YOUNG TO WAGGA WAGGA) ACT 1980 NO. 8, 1980"
"aeaa1980224/","ATOMIC ENERGY AMENDMENT ACT 1980 NO. 9, 1980"
"idapa1980570/","INTERNATIONAL DEVELOPMENT ASSOCIATION (FURTHER PAYMENT) ACT 1980 NO. 10, 1980"
"ptaaa1980504/","PAY-ROLL TAX (TERRITORIES) ASSESSMENT AMENDMENT ACT 1980 NO. 11, 1980"
"baa1980222/","BANKRUPTCY AMENDMENT ACT 1980 NO. 12, 1980"
"caa21980231/","CUSTOMS AMENDMENT ACT (NO. 2) 1980 NO. 13, 1980"
"sotaa1980488/","SENATE (REPRESENTATION OF TERRITORIES) AMENDMENT ACT 1980 NO. 14, 1980"
"caa1980204/","CUSTOMS AMENDMENT ACT 1980 NO. 15, 1980"
"ctceda1980533/","CUSTOMS TARIFF (URANIUM CONCENTRATE EXPORT DUTY) ACT 1980 NO. 16, 1980"
"caa1980200/","CURRENCY AMENDMENT ACT 1980 NO. 17, 1980"
"rdaa1980282/","RACIAL DISCRIMINATION AMENDMENT ACT 1980 NO. 18, 1980"
"itlaa1980247/","INCOME TAX LAWS AMENDMENT ACT 1980 NO. 19, 1980"
"pmpaa1980291/","PIG MEAT PROMOTION AMENDMENT ACT 1980 NO. 20, 1980"
"pctca1980405/","PIPELINE CONSTRUCTION (DALTON TO CANBERRA) ACT 1980 NO. 21, 1980"
"itaa1980254/","INCOME TAX (RATES) AMENDMENT ACT 1980 NO. 22, 1980"
"itaaa1980432/","INCOME TAX (INTERNATIONAL AGREEMENTS) AMENDMENT ACT 1980 NO. 23, 1980"
"itaaa1980320/","INCOME TAX ASSESSMENT AMENDMENT ACT 1980 NO. 24, 1980"
"lgitsaa1980518/","LOCAL GOVERNMENT (PERSONAL INCOME TAX SHARING) AMENDMENT ACT 1980 NO. 25, 1980"
"sitsaa1980435/","STATES (PERSONAL INCOME TAX SHARING) AMENDMENT ACT 1980 NO. 26, 1980"
"anaa1980228/","AIR NAVIGATION AMENDMENT ACT 1980 NO. 27, 1980"
"anaaa1980364/","AUSTRALIAN NATIONAL AIRLINES AMENDMENT ACT 1980 NO. 28, 1980"
"qalga1980362/","QANTAS AIRWAYS LIMITED (LOAN GUARANTEE) ACT 1980 NO. 29, 1980"
"aega1980314/","AIRLINE EQUIPMENT (LOAN GUARANTEE) ACT 1980 NO. 30, 1980"
"bcyaa1980453/","BOUNTY (POLYESTER COTTON YARN) AMENDMENT ACT 1980 NO. 31, 1980"
"bcaa1980432/","BOUNTY (ROTARY CULTIVATORS) AMENDMENT ACT 1980 NO. 32, 1980"
"bba1980235/","BOUNTY (DRILLING BITS) ACT 1980 NO. 33, 1980"
"adca1980338/","ABORIGINAL DEVELOPMENT COMMISSION ACT 1980 NO. 34, 1980"
"caaaa1980345/","CONCILIATION AND ARBITRATION AMENDMENT ACT 1980 NO. 35, 1980"
"caaaa21980372/","CONCILIATION AND ARBITRATION AMENDMENT ACT (NO. 2) 1980 NO. 36, 1980"
"lpga1980313/","LIQUEFIED PETROLEUM GAS (GRANTS) ACT 1980 NO. 37, 1980"
"anraa1980385/","AUSTRALIAN NATIONAL RAILWAYS AMENDMENT ACT 1980 NO. 38, 1980"
"ascaa1980416/","AUSTRALIAN SHIPPING COMMISSION AMENDMENT ACT 1980 NO. 39, 1980"
"scbaa1980399/","SHIP CONSTRUCTION BOUNTY AMENDMENT ACT 1980 NO. 40, 1980"
"dpaiaa1980443/","DIPLOMATIC PRIVILEGES AND IMMUNITIES AMENDMENT ACT 1980 NO. 41, 1980"
"eaa1980160/","EXCISE AMENDMENT ACT 1980 NO. 42, 1980"
"etaa1980214/","EXCISE TARIFF AMENDMENT ACT 1980 NO. 43, 1980"
"etaa21980241/","EXCISE TARIFF AMENDMENT ACT (NO. 2) 1980 NO. 44, 1980"
"etaa31980241/","EXCISE TARIFF AMENDMENT ACT (NO. 3) 1980 NO. 45, 1980"
"bta1980206/","BOUNTY (REFINED TIN) ACT 1980 NO. 46, 1980"
"ba1980205/","BOUNTY (PENICILLIN) ACT 1980 NO. 47, 1980"
"ba1980178/","BOUNTY (SHIPS) ACT 1980 NO. 48, 1980"
"abaa1980351/","AUSTRALIAN BICENTENNIAL AUTHORITY ACT 1980 NO. 49, 1980"
"wiaa1980284/","WOOL INDUSTRY AMENDMENT ACT 1980 NO. 50 OF 1980"
"wt1aa1980231/","WOOL TAX (NO. 1) AMENDMENT ACT 1980 NO. 51 OF 1980"
"wt2aa1980231/","WOOL TAX (NO. 2) AMENDMENT ACT 1980 NO. 52 OF 1980"
"wt3aa1980231/","WOOL TAX (NO. 3) AMENDMENT ACT 1980 NO. 53 OF 1980"
"wt4aa1980231/","WOOL TAX (NO. 4) AMENDMENT ACT 1980 NO. 54 OF 1980"
"wt5aa1980231/","WOOL TAX (NO. 5) AMENDMENT ACT 1980 NO. 55 OF 1980"
