"url","name"
"qaa1979211/","QUARANTINE AMENDMENT ACT 1979 NO. 1, 1979"
"catpta1979662/","COMMONWEALTH AUTHORITIES (NORTHERN TERRITORY PAY-ROLL TAX) ACT 1979 NO. 2, 1979"
"stacaa1979484/","SALES TAX (EXEMPTIONS AND CLASSIFICATIONS) AMENDMENT ACT 1979 NO. 3, 1979"
"piaaa1979443/","POULTRY INDUSTRY ASSISTANCE AMENDMENT ACT 1979 NO. 4, 1979"
"sgptaa1979492/","STATES GRANTS (URBAN PUBLIC TRANSPORT) AMENDMENT ACT 1979 NO. 5, 1979"
"ciaa1979278/","COCOS (KEELING) ISLANDS AMENDMENT ACT 1979 NO. 6, 1979"
"psaa1979270/","POSTAL SERVICES AMENDMENT ACT 1979 NO. 7, 1979"
"aaa1979151/","AUDIT AMENDMENT ACT 1979 NO. 8, 1979"
"paa1979189/","PATENTS AMENDMENT ACT 1979 NO. 9, 1979"
"ptaaa1979504/","PAY-ROLL TAX (TERRITORIES) ASSESSMENT AMENDMENT ACT 1979 NO. 10, 1979"
"eaa1979n111979187/","EXCISE AMENDMENT ACT 1979 NO. 11, 1979"
"itaaa1979320/","INCOME TAX ASSESSMENT AMENDMENT ACT 1979 NO. 12, 1979"
"fajoea1979590/","FOREIGN ANTITRUST JUDGMENTS (RESTRICTION OF ENFORCEMENT) ACT 1979 NO. 13, 1979"
"dpspaa1979405/","DAIRY PRODUCE SALES PROMOTION AMENDMENT ACT 1979 NO. 14, 1979"
"dfadbaa1979434/","DEFENCE FORCE (RETIREMENT AND DEATH BENEFITS AMENDMENTS) ACT 1979 NO. 15, 1979"
"nfaa1979264/","NATIONAL FITNESS AMENDMENT ACT 1979 NO. 16, 1979"
"casa1979123/","CRIMES AT SEA ACT 1979 NO. 17, 1979"
"raaa1979274/","REPATRIATION ACTS AMENDMENT ACT 1979 NO. 18, 1979"
"jocaa1979502/","JURISDICTION OF COURTS (MISCELLANEOUS AMENDMENTS) ACT 1979 NO. 19, 1979"
"pilaa1979403/","POULTRY INDUSTRY LEVY AMENDMENT ACT 1979 NO. 20, 1979"
