"url","name"
"sgra194611946390/","STATES GRANTS (TAX REIMBURSEMENT) ACT 1946 (NO. 1, 1946)"
"sa194621946222/","SUPERANNUATION ACT 1946 (NO. 2, 1946)"
"itaa194631946348/","INCOME TAX (WAR-TIME ARRANGEMENTS) ACT 1946 (NO. 3, 1946)"
"etaa194641946377/","ENTERTAINMENTS TAX ASSESSMENT ACT 1946 (NO. 4, 1946)"
"eta194651946253/","ENTERTAINMENTS TAX ACT 1946 (NO. 5, 1946)"
"itaa194661946267/","INCOME TAX ASSESSMENT ACT 1946 (NO. 6, 1946)"
"wtaa194671946376/","WAR-TIME (COMPANY) TAX ASSESSMENT ACT 1946 (NO. 7, 1946)"
"wsha194681946216/","WAR SERVICE HOMES ACT 1946 (NO. 8, 1946)"
"na194691946177/","NATIONALITY ACT 1946 (NO. 9, 1946)"
"ja1946101946139/","JUDICIARY ACT 1946 (NO. 10, 1946)"
"saa1946111946188/","SUGAR AGREEMENT ACT 1946 (NO. 11, 1946)"
"staca1946121946431/","SALES TAX (EXEMPTIONS AND CLASSIFICATIONS) ACT 1946 (NO. 12, 1946)"
"staa91946131946292/","SALES TAX ASSESSMENT ACT (NO 9) 1946 (NO. 13, 1946)"
"ccaaa1946141946422/","COMMONWEALTH CONCILIATION AND ARBITRATION ACT 1946 (NO. 14, 1946)"
"nsa1946151946238/","NATIONAL SECURITY ACT 1946 (NO. 15, 1946)"
"cpsa1946161946309/","COMMONWEALTH PUBLIC SERVICE ACT 1946 (NO. 16, 1946)"
"sa1194647171946178/","SUPPLY ACT (NO 1) 1946-47 (NO. 17, 1946)"
"aa2194546181946230/","APPROPRIATION ACT (NO 2) 1945-46 (NO. 18, 1946)"
"wpaa1946191946345/","WAR PENSIONS APPROPRIATION ACT 1946 (NO. 19, 1946)"
"ppba1946201946393/","PARLIAMENTARY PROCEEDINGS BROADCASTING ACT 1946 (NO. 20, 1946)"
"cisa1946211946315/","COMMONWEALTH INSCRIBED STOCK ACT 1946 (NO. 21, 1946)"
"anua1946221946384/","AUSTRALIAN NATIONAL UNIVERSITY ACT 1946 (NO. 22, 1946)"
"ota1946231946337/","OVERSEAS TELECOMMUNICATIONS ACT 1946 (NO. 23, 1946)"
"wisa1946241946366/","WHEAT INDUSTRY STABILIZATION ACT 1946 (NO. 24, 1946)"
"weca1946251946228/","WHEAT EXPORT CHARGE ACT 1946 (NO. 25, 1946)"
"iaopa1946261946269/","INVALID AND OLD-AGE PENSIONS ACT 1946 (NO. 26, 1946)"
"wpa1946271946238/","WIDOWS' PENSIONS ACT 1946 (NO. 27, 1946)"
"na21946281946204/","NATIONALITY ACT (NO 2) 1946 (NO. 28, 1946)"
"ada1946291946228/","ALIENS DEPORTATION ACT 1946 (NO. 29, 1946)"
"ccaaa21946301946449/","COMMONWEALTH CONCILIATION AND ARBITRATION ACT (NO 2) 1946 (NO. 30, 1946)"
"ita1946311946143/","INCOME TAX ACT 1946 (NO. 31, 1946)"
"sscaa1946321946465/","SOCIAL SERVICES CONTRIBUTION ASSESSMENT ACT 1946 (NO. 32, 1946)"
"ssca1946331946341/","SOCIAL SERVICES CONTRIBUTION ACT 1946 (NO. 33, 1946)"
"aeoma1946341946369/","ATOMIC ENERGY (CONTROL OF MATERIALS) ACT 1946 (NO. 34, 1946)"
"ppa1946351946257/","PARLIAMENTARY PAPERS ACT 1946 (NO. 35, 1946)"
"meca1946361946265/","MEAT EXPORT CONTROL ACT 1946 (NO. 36, 1946)"
"mica1946371946295/","MEAT INDUSTRY CONTROL ACT 1946 (NO. 37, 1946)"
"pa1946381946136/","PATENTS ACT 1946 (NO. 38, 1946)"
"aba1946391946255/","AUSTRALIAN BROADCASTING ACT 1946 (NO. 39, 1946)"
"cia1946401946197/","COAL INDUSTRY ACT 1946 (NO. 40, 1946)"
"trra1946411946343/","TRADESMEN'S RIGHTS REGULATION ACT 1946 (NO. 41, 1946)"
"cea1946421946260/","COMMONWEALTH ELECTORAL ACT 1946 (NO. 42, 1946)"
"ba1946431946169/","BANKRUPTCY ACT 1946 (NO. 43, 1946)"
"ta1946441946200/","TUBERCULOSIS ACT 1946 (NO. 44, 1946)"
"ioca1946451946364/","IMMIGRATION (GUARDIANSHIP OF CHILDREN) ACT 1946 (NO. 45, 1946)"
"fatba1946461946305/","FORESTRY AND TIMBER BUREAU ACT 1946 (NO. 46, 1946)"
"ctva1946471946302/","CUSTOMS TARIFF VALIDATION ACT 1946 (NO. 47, 1946)"
"etva1946481946258/","EXCISE TARIFF VALIDATION ACT 1946 (NO. 48, 1946)"
"asra1946491946381/","AUSTRALIAN SOLDIERS' REPATRIATION ACT 1946 (NO. 49, 1946)"
"rsaa1946501946369/","RAILWAY STANDARDIZATION AGREEMENT ACT 1946 (NO. 50, 1946)"
"rcba1946511946259/","RAW COTTON BOUNTY ACT 1946 (NO. 51, 1946)"
"wifa1946521946272/","WOOL INDUSTRY FUND ACT 1946 (NO. 52, 1946)"
"sa2194647531946178/","SUPPLY ACT (NO 2) 1946-47 (NO. 53, 1946)"
"saa194445541946375/","SUPPLEMENTARY APPROPRIATION ACT 1944-45 (NO. 54, 1946)"
"saaba194445551946560/","SUPPLEMENTARY APPROPRIATION (WORKS AND BUILDINGS) ACT 1944-45 (NO. 55, 1946)"
"aa194647561946203/","APPROPRIATION ACT 1946-47 (NO. 56, 1946)"
"aaba194647571946388/","APPROPRIATION (WORKS AND BUILDINGS) ACT 1946-47 (NO. 57, 1946)"
"sta11946581946168/","SALES TAX ACT (NO 1) 1946 (NO. 58, 1946)"
"sta21946591946168/","SALES TAX ACT (NO 2) 1946 (NO. 59, 1946)"
"sta31946601946168/","SALES TAX ACT (NO 3) 1946 (NO. 60, 1946)"
"sta41946611946168/","SALES TAX ACT (NO 4) 1946 (NO. 61, 1946)"
"sta51946621946168/","SALES TAX ACT (NO 5) 1946 (NO. 62, 1946)"
"sta61946631946168/","SALES TAX ACT (NO 6) 1946 (NO. 63, 1946)"
"sta71946641946168/","SALES TAX ACT (NO 7) 1946 (NO. 64, 1946)"
"sta81946651946168/","SALES TAX ACT (NO 8) 1946 (NO. 65, 1946)"
"sta91946661946168/","SALES TAX ACT (NO 9) 1946 (NO. 66, 1946)"
