"url","name"
"wpaa194011940345/","WAR PENSIONS APPROPRIATION ACT 1940 (NO. 1, 1940)"
"iaopaa194021940424/","INVALID AND OLD-AGE PENSIONS APPROPRIATION ACT 1940 (NO. 2, 1940)"
"sta1194031940168/","SALES TAX ACT (NO 1) 1940 (NO. 3, 1940)"
"sta2194041940168/","SALES TAX ACT (NO 2) 1940 (NO. 4, 1940)"
"sta3194051940168/","SALES TAX ACT (NO 3) 1940 (NO. 5, 1940)"
"sta4194061940168/","SALES TAX ACT (NO 4) 1940 (NO. 6, 1940)"
"sta5194071940168/","SALES TAX ACT (NO 5) 1940 (NO. 7, 1940)"
"sta6194081940168/","SALES TAX ACT (NO 6) 1940 (NO. 8, 1940)"
"sta7194091940168/","SALES TAX ACT (NO 7) 1940 (NO. 9, 1940)"
"sta81940101940168/","SALES TAX ACT (NO 8) 1940 (NO. 10, 1940)"
"sta91940111940168/","SALES TAX ACT (NO 9) 1940 (NO. 11, 1940)"
"edaa1940121940302/","ESTATE DUTY ASSESSMENT ACT 1940 (NO. 12, 1940)"
"eda1940131940178/","ESTATE DUTY ACT 1940 (NO. 13, 1940)"
"soga1940141940383/","SEAT OF GOVERNMENT (ADMINISTRATION) ACT 1940 (NO. 14, 1940)"
"ltaa1940151940241/","LAND TAX ASSESSMENT ACT 1940 (NO. 15, 1940)"
"lta1940161940117/","LAND TAX ACT 1940 (NO. 16, 1940)"
"itaa1940171940267/","INCOME TAX ASSESSMENT ACT 1940 (NO. 17, 1940)"
"ita1940181940143/","INCOME TAX ACT 1940 (NO. 18, 1940)"
"cea1940191940260/","COMMONWEALTH ELECTORAL ACT 1940 (NO. 19, 1940)"
"nta1940201940443/","NORTHERN TERRITORY (ADMINISTRATION) ACT 1940 (NO. 20, 1940)"
"saa1940211940188/","SUGAR AGREEMENT ACT 1940 (NO. 21, 1940)"
"posa1940221940245/","PETROLEUM OIL SEARCH ACT 1940 (NO. 22, 1940)"
"patra1940231940271/","POST AND TELEGRAPH RATES ACT 1940 (NO. 23, 1940)"
"patrfa1940241940366/","POST AND TELEGRAPH RATES (DEFENCE FORCES) ACT 1940 (NO. 24, 1940)"
"cisa1940251940315/","COMMONWEALTH INSCRIBED STOCK ACT 1940 (NO. 25, 1940)"
"la194026194086/","LOAN ACT 1940 (NO. 26, 1940)"
"aa2193940271940230/","APPROPRIATION ACT (NO 2) 1939-40 (NO. 27, 1940)"
"taa1940281940207/","TRADE AGREEMENT (GREECE) ACT 1940 (NO. 28, 1940)"
"stea1940291940271/","SALES TAX EXEMPTIONS ACT 1940 (NO. 29, 1940)"
"staa11940301940292/","SALES TAX ASSESSMENT ACT (NO 1) 1940 (NO. 30, 1940)"
"mvaa1940311940278/","MOTOR VEHICLES AGREEMENT ACT 1940 (NO. 31, 1940)"
"ptmdacpa1940321940563/","PATENTS, TRADE MARKS DESIGNS AND COPYRIGHT (WAR POWERS) ACT 1940 (NO. 32, 1940)"
"twtea1940331940257/","TRADING WITH THE ENEMY ACT 1940 (NO. 33, 1940)"
"rsecaa1940341940462/","RABBIT SKINS EXPORT CHARGES APPROPRIATION ACT 1940 (NO. 34, 1940)"
"rseca1940351940307/","RABBIT SKINS EXPORT CHARGES ACT 1940 (NO. 35, 1940)"
"ia1940361940165/","IMMIGRATION ACT 1940 (NO. 36, 1940)"
"asra1940371940381/","AUSTRALIAN SOLDIERS' REPATRIATION ACT 1940 (NO. 37, 1940)"
"gmea1940381940270/","GOLD MINING ENCOURAGEMENT ACT 1940 (NO. 38, 1940)"
"gtca1940391940222/","GOLD TAX COLLECTION ACT 1940 (NO. 39, 1940)"
"itca1940401940241/","INCOME TAX COLLECTION ACT 1940 (NO. 40, 1940)"
"sa1194041411940178/","SUPPLY ACT (NO 1) 1940-41 (NO. 41, 1940)"
"saa193839421940375/","SUPPLEMENTARY APPROPRIATION ACT 1938-39 (NO. 42, 1940)"
"saaba193839431940560/","SUPPLEMENTARY APPROPRIATION (WORKS AND BUILDINGS) ACT 1938-39 (NO. 43, 1940)"
"nsa1940441940238/","NATIONAL SECURITY ACT 1940 (NO. 44, 1940)"
"la21940451940113/","LOAN ACT (NO 2) 1940 (NO. 45, 1940)"
"gmea21940461940297/","GOLD MINING ENCOURAGEMENT ACT (NO 2) 1940 (NO. 46, 1940)"
"pa194047194098/","PAPUA ACT 1940 (NO. 47, 1940)"
"cea1940481940342/","COMMONWEALTH ELECTORAL (WAR-TIME) ACT 1940 (NO. 48, 1940)"
"rcba1940491940259/","RAW COTTON BOUNTY ACT 1940 (NO. 49, 1940)"
"ja1940501940139/","JUDICIARY ACT 1940 (NO. 50, 1940)"
"sa2194041511940178/","SUPPLY ACT (NO 2) 1940-41 (NO. 51, 1940)"
"hca1940521940216/","HIGH COMMISSIONER ACT 1940 (NO. 52, 1940)"
"ctva1940531940302/","CUSTOMS TARIFF VALIDATION ACT 1940 (NO. 53, 1940)"
