"url","name"
"aca2008mn1a2008257/","AGED CARE AMENDMENT (2008 MEASURES NO. 1) ACT 2008 (NO. 1, 2008)"
"aaeiaa120072008569/","APPROPRIATION (DROUGHT AND EQUINE INFLUENZA ASSISTANCE) ACT (NO. 1) 2007-2008 (NO. 2, 2008)"
"aaeiaa220072008569/","APPROPRIATION (DROUGHT AND EQUINE INFLUENZA ASSISTANCE) ACT (NO. 2) 2007-2008 (NO. 3, 2008)"
"ieaa2008mn1a2008583/","INDIGENOUS EDUCATION (TARGETED ASSISTANCE) AMENDMENT (2008 MEASURES NO. 1) ACT 2008 (NO. 4, 2008)"
"ssavalaaa2008684/","SOCIAL SECURITY AND VETERANS' AFFAIRS LEGISLATION AMENDMENT (ENHANCED ALLOWANCES) ACT 2008 (NO. 5, 2008)"
"dlaa2008248/","DEFENCE LEGISLATION AMENDMENT ACT 2008 (NO. 6, 2008)"
"tpada2008382/","TRADE PRACTICES AMENDMENT (ACCESS DECLARATIONS) ACT 2008 (NO. 7, 2008)"
"wratfwfa2008679/","WORKPLACE RELATIONS AMENDMENT (TRANSITION TO FORWARD WITH FAIRNESS) ACT 2008 (NO. 8, 2008)"
"tgasa2008444/","THERAPEUTIC GOODS AMENDMENT (POISONS STANDARD) ACT 2008 (NO. 9, 2008)"
"saa2008190/","SKILLS AUSTRALIA ACT 2008 (NO. 10, 2008)"
"hesafaa2008545/","HIGHER EDUCATION SUPPORT AMENDMENT (VET FEE-HELP ASSISTANCE) ACT 2008 (NO. 11, 2008)"
"saa2008172/","SCREEN AUSTRALIA ACT 2008 (NO. 12, 2008)"
"saatnfasaatpa2008919/","SCREEN AUSTRALIA AND THE NATIONAL FILM AND SOUND ARCHIVE (CONSEQUENTIAL AND TRANSITIONAL PROVISIONS) ACT 2008 (NO. 13, 2008)"
"nfasaa2008278/","NATIONAL FILM AND SOUND ARCHIVE ACT 2008 (NO. 14, 2008)"
"aa320072008203/","APPROPRIATION ACT (NO. 3) 2007-2008 (NO. 15, 2008)"
"aa420072008203/","APPROPRIATION ACT (NO. 4) 2007-2008 (NO. 16, 2008)"
"iaa2008293/","INFRASTRUCTURE AUSTRALIA ACT 2008 (NO. 17, 2008)"
"tsaa2008214/","TRADEX SCHEME AMENDMENT ACT 2008 (NO. 18, 2008)"
"ssavelapaobma20081017/","SOCIAL SECURITY AND VETERANS' ENTITLEMENTS LEGISLATION AMENDMENT (ONE-OFF PAYMENTS AND OTHER BUDGET MEASURES) ACT 2008 (NO. 19, 2008)"
"caacaa2008467/","COMMONWEALTH AUTHORITIES AND COMPANIES AMENDMENT ACT 2008 (NO. 20, 2008)"
"opama2008529/","OFFSHORE PETROLEUM AMENDMENT (MISCELLANEOUS MEASURES) ACT 2008 (NO. 21, 2008)"
"tlabna2008635/","TELECOMMUNICATIONS LEGISLATION AMENDMENT (NATIONAL BROADBAND NETWORK) ACT 2008 (NO. 22, 2008)"
"taaaa2008490/","TELECOMMUNICATIONS (INTERCEPTION AND ACCESS) AMENDMENT ACT 2008 (NO. 23, 2008)"
"cia2008274/","CROSS-BORDER INSOLVENCY ACT 2008 (NO. 24, 2008)"
"fslaopda2008640/","FINANCIAL SECTOR LEGISLATION AMENDMENT (REVIEW OF PRUDENTIAL DECISIONS) ACT 2008 (NO. 25, 2008)"
"slabaomaa2008933/","SUPERANNUATION LEGISLATION AMENDMENT (TRUSTEE BOARD AND OTHER MEASURES) (CONSEQUENTIAL AMENDMENTS) ACT 2008 (NO. 26, 2008)"
"dhoasa2008358/","DEFENCE HOME OWNERSHIP ASSISTANCE SCHEME ACT 2008 (NO. 27, 2008)"
"dhoasaa2008598/","DEFENCE HOME OWNERSHIP ASSISTANCE SCHEME (CONSEQUENTIAL AMENDMENTS) ACT 2008 (NO. 28, 2008)"
"tlaitra2008481/","TAX LAWS AMENDMENT (PERSONAL INCOME TAX REDUCTION) ACT 2008 (NO. 29, 2008)"
"ititta2008518/","INCOME TAX (MANAGED INVESTMENT TRUST TRANSITIONAL) ACT 2008 (NO. 30, 2008)"
"ititwta2008538/","INCOME TAX (MANAGED INVESTMENT TRUST WITHHOLDING TAX) ACT 2008 (NO. 31, 2008)"
"tlacn1a2008429/","TAX LAWS AMENDMENT (ELECTION COMMITMENTS NO. 1) ACT 2008 (NO. 32, 2008)"
"emdgaa2008448/","EXPORT MARKET DEVELOPMENT GRANTS AMENDMENT ACT 2008 (NO. 33, 2008)"
"aa520072008203/","APPROPRIATION ACT (NO. 5) 2007-2008 (NO. 34, 2008)"
