"url","name"
"taa195311953296/","TAXATION ADMINISTRATION ACT 1953 (NO. 1, 1953)"
"ltaa195321953205/","LAND TAX ABOLITION ACT 1953 (NO. 2, 1953)"
"fa195331953137/","FISHERIES ACT 1953 (NO. 3, 1953)"
"pfa195341953184/","PEARL FISHERIES ACT 1953 (NO. 4, 1953)"
"wpaa195351953345/","WAR PENSIONS APPROPRIATION ACT 1953 (NO. 5, 1953)"
"ta195361953168/","TELEVISION ACT 1953 (NO. 6, 1953)"
"hiamia195371953277/","HEARD ISLAND AND MCDONALD ISLANDS ACT 1953 (NO. 7, 1953)"
"cfeca195381953352/","CANNED FRUITS EXPORT CONTROL ACT 1953 (NO. 8, 1953)"
"dfeca195391953352/","DRIED FRUITS EXPORT CONTROL ACT 1953 (NO. 9, 1953)"
"sca1953101953249/","SEAMEN'S COMPENSATION ACT 1953 (NO. 10, 1953)"
"ptmdaca1953111953434/","PATENTS, TRADE MARKS, DESIGNS AND COPYRIGHT ACT 1953 (NO. 11, 1953)"
"cba1953121953202/","COMMONWEALTH BANK ACT 1953 (NO. 12, 1953)"
"ba195313195399/","BANKING ACT 1953 (NO. 13, 1953)"
"tba1953141953227/","TRACTOR BOUNTY ACT 1953 (NO. 14, 1953)"
"aa2195253151953230/","APPROPRIATION ACT (NO. 2) 1952-53 (NO. 15, 1953)"
"aasa2195253161953419/","APPROPRIATION (WORKS AND SERVICES) ACT (NO. 2) 1952-53 (NO. 16, 1953)"
"qtlmbga1953171953429/","QUEENSLAND TOBACCO LEAF MARKETING BOARD GUARANTEE ACT 1953 (NO. 17, 1953)"
"meca1953181953265/","MEAT EXPORT CONTROL ACT 1953 (NO. 18, 1953)"
"ctva1953191953302/","CUSTOMS TARIFF VALIDATION ACT 1953 (NO. 19, 1953)"
"da195320195383/","DEFENCE ACT 1953 (NO. 20, 1953)"
"lrda1953211953358/","LOAN (TEMPORARY REVENUE DEFICITS) ACT 1953 (NO. 21, 1953)"
"psa1953221953179/","PUBLIC SERVICE ACT 1953 (NO. 22, 1953)"
"wupa1953231953277/","WOOL USE PROMOTION ACT 1953 (NO. 23, 1953)"
