region_id,median_mortgage,average_household_size,median_household_income,percent_female_earner,percent_no_internet,percent_unemployment,percent_public_transport,percent_born_managers
212031308,1700.0,2.8,1321.0,0.15,14.1,3.9,0.03,0.11
212041309,1733.0,2.9,1234.0,0.21,16.0,5.7,0.15,0.09
212041310,1700.0,2.8,1052.0,0.23,13.8,8.2,0.21,0.06
212041311,1517.0,2.7,806.0,0.28,12.4,11.2,0.16,0.06
212041312,1517.0,2.8,1031.0,0.22,14.6,7.5,0.09,0.07
212041313,1822.0,2.7,1372.0,0.16,14.8,3.3,0.07,0.14
212041314,1800.0,3.1,1253.0,0.18,15.0,6.0,0.1,0.1
212041315,1500.0,2.6,899.0,0.27,14.7,9.5,0.18,0.06
212041316,1425.0,2.8,1059.0,0.23,14.7,7.7,0.09,0.08
212041317,1500.0,2.9,884.0,0.28,12.9,10.5,0.18,0.06
212041318,1517.0,3.1,994.0,0.22,15.9,9.0,0.11,0.07
212051319,2167.0,2.6,1294.0,0.18,16.5,5.9,0.2,0.14
212051320,1800.0,2.6,963.0,0.16,18.5,13.0,0.24,0.07
212051321,1950.0,2.8,1391.0,0.13,14.7,5.7,0.17,0.14
212051322,2000.0,2.8,1300.0,0.14,15.3,6.6,0.19,0.13
212051323,1959.0,2.7,1392.0,0.15,15.7,5.4,0.19,0.14
212051324,2000.0,2.6,1349.0,0.17,14.5,5.2,0.18,0.14
212051325,1915.0,2.8,1340.0,0.17,15.2,4.9,0.11,0.12
212051326,1972.0,2.7,1309.0,0.19,15.8,5.7,0.22,0.11
212051327,2000.0,2.8,1560.0,0.14,13.6,4.3,0.11,0.15
213011328,1515.0,2.4,870.0,0.3,13.9,10.4,0.26,0.06
213011329,2000.0,3.5,1541.0,0.11,13.6,7.3,0.13,0.09
213011330,1907.0,2.9,1235.0,0.19,15.1,8.2,0.13,0.07
213011331,1500.0,3.1,1176.0,0.19,13.9,7.8,0.12,0.06
213011332,1513.0,3.0,1267.0,0.19,14.2,6.4,0.1,0.08
213011333,1365.0,3.0,946.0,0.26,15.1,10.7,0.12,0.05
213011334,1400.0,2.8,846.0,0.32,12.7,11.1,0.17,0.05
213011335,1402.0,2.9,886.0,0.3,14.0,11.3,0.2,0.05
213011336,1560.0,2.7,980.0,0.25,14.5,9.2,0.25,0.07
213011337,1426.0,2.9,880.0,0.3,13.1,11.5,0.15,0.07
213011338,1491.0,2.9,947.0,0.3,12.9,9.8,0.14,0.07
213011339,1647.0,3.0,1420.0,0.14,16.7,6.0,0.17,0.09
213011340,1560.0,3.3,1660.0,0.14,13.1,4.6,0.09,0.12
213021341,1800.0,2.3,1157.0,0.25,15.5,5.2,0.2,0.12
213021342,1500.0,2.7,1226.0,0.19,13.1,6.6,0.14,0.08
213021343,1950.0,2.5,923.0,0.32,13.2,7.0,0.14,0.1
213021344,2162.0,2.5,1621.0,0.18,16.6,4.3,0.21,0.15
213021345,1733.0,2.9,1442.0,0.12,13.9,4.8,0.13,0.1
213021346,2167.0,2.5,1690.0,0.18,14.4,4.4,0.18,0.19
213031347,1733.0,2.7,957.0,0.26,16.6,10.8,0.2,0.08
213031348,1950.0,2.3,1057.0,0.19,17.4,8.8,0.38,0.09
